date,000016.SH,000300.SH,000905.SH,038.CS,H11008.CSI,NH0200.NHF,Au9999
2005/3/31,795.667,942.203,896.068,103.644,102.1,1182.9702,114.08
2005/4/1,822.91,978.145,927.546,103.512,102.1,1187.1179,114.8
2005/4/4,808.591,962.168,909.87,103.977,102.27,1184.4158,114.32
2005/4/5,801.885,955.598,901.744,104.075,102.41,1185.185,113.61
2005/4/6,816.879,973.668,918.557,103.941,102.94,1192.0343,114.2
2005/4/7,824.609,984.733,932.333,104.353,103.42,1203.4462,114.66
2005/4/8,838.056,1003.445,949.457,104.538,103.52,1189.1623,114.26
2005/4/11,830.908,995.421,948.509,104.64,103.93,1201.3423,114.59
2005/4/12,818.467,978.697,927.41,104.99,105.52,1199.6884,115.03
2005/4/13,835.628,1000.9,950.229,104.587,105.7,1186.7487,114.8
2005/4/14,826.005,986.975,935.425,105.289,105.74,1163.888,114.66
2005/4/15,817.094,974.082,913.271,105.085,105.83,1171.9081,113.79
2005/4/18,806.389,963.772,901.118,105.096,105.89,1177.0513,114
2005/4/19,809.361,965.886,902.785,105.012,105.88,1189.6425,114.47
2005/4/20,798.517,950.867,884.083,104.97,105.77,1201.7542,115.37
2005/4/21,793.445,943.981,867.328,105.032,105.69,1186.9845,115.49
2005/4/22,794.819,939.101,857.401,104.7,105.15,1195.7589,115.62
2005/4/25,790.749,930.07,841.058,105.107,105.25,1189.8478,115.54
2005/4/26,792.303,937.083,855.24,105.034,105.33,1190.1472,115.73
2005/4/27,782.432,926.604,839.953,104.99,105.54,1180.0318,115.6
2005/4/28,793.878,942.073,860.616,105.147,105.94,1182.7975,115.09
2005/4/29,789.732,932.395,847.611,104.998,106.01,1186.7251,115.2
2005/5/9,775.321,909.174,818.399,105.288,106.05,1198.0109,113.86
2005/5/10,779.099,913.076,818.088,105.537,106.22,1200.8833,114
2005/5/11,771.586,901.851,811.57,105.551,106.51,1193.9765,114.29
2005/5/12,753.875,885.82,807.51,105.588,106.84,1187.3185,113.86
2005/5/13,757.304,887.543,814.878,105.913,107.02,1170.6611,113.05
2005/5/16,747.871,875.271,808.171,105.942,107.27,1176.7095,112.18
2005/5/17,750.711,881.462,818.455,105.791,107.2,1167.8875,112.23
2005/5/18,752.662,883.196,824.643,106.11,107.31,1177.3852,112.39
2005/5/19,754.785,884.171,824.94,106.167,107.32,1173.7755,112.75
2005/5/20,753.071,882.763,819.13,106.415,107.46,1175.5349,112.48
2005/5/23,737.741,863.341,793.724,106.757,107.67,1174.6919,111.52
2005/5/24,737.35,868.456,808.743,106.678,107.67,1181.715,111.66
2005/5/25,737.538,868.451,809.697,106.762,107.75,1180.0176,111.84
2005/5/26,728.697,857.331,799.024,106.702,107.75,1187.698,111.85
2005/5/27,724.522,849.508,790.998,106.649,107.7,1193.2183,111.85
2005/5/30,729.067,855.612,797.532,106.541,107.62,1191.6302,111.61
2005/5/31,730.997,855.946,796.872,106.47,107.78,1185.6091,111.26
2005/6/1,719.025,837.532,778.673,106.675,107.87,1193.0317,111.25
2005/6/2,701.373,818.379,769.421,106.778,107.93,1214.1784,111.27
2005/6/3,700.434,818.033,765.967,106.779,108.15,1227.497,112.35
2005/6/6,717.213,838.997,778.21,106.842,108.17,1264.273,112.77
2005/6/7,713.62,837.282,779.844,106.96,108.4,1259.8842,113.29
2005/6/8,772.134,905.773,841.36,106.997,108.44,1246.9448,113
2005/6/9,778.577,912.604,849.725,107.007,108.48,1244.1156,112.75
2005/6/10,766.663,894.556,831.605,107.281,108.8,1262.4193,112.74
2005/6/13,759.917,892.959,834.252,107.772,109.25,1262.509,112.87
2005/6/14,754.548,883.537,818.191,107.864,109.7,1254.1689,113.19
2005/6/15,745.216,866.834,796.26,108.133,109.94,1261.2844,113.2
2005/6/16,757.392,879.237,803.945,108.183,110.16,1262.3112,113.67
2005/6/17,762.178,880.345,800.137,108.383,110.57,1273.0462,115.1
2005/6/20,780.291,906.255,823.733,108.403,110.36,1296.0186,115.8
2005/6/21,770.295,896.166,816.197,108.471,110.75,1285.1948,114.88
2005/6/22,774.15,900.646,818.647,108.594,111.03,1290.7532,115.77
2005/6/23,768.331,893.572,809.347,108.656,111.11,1277.3679,115.64
2005/6/24,772.319,898.301,813.203,108.614,111.09,1288.7092,116.31
2005/6/27,782.382,916.043,834.346,108.449,111.24,1293.206,116.09
2005/6/28,775.634,903.716,819.046,108.381,111.21,1285.5204,115.86
2005/6/29,772.02,898.898,814.064,108.201,111.22,1275.2731,114.95
2005/6/30,758.717,878.686,791.502,108.117,111.36,1286.4974,115.45
2005/7/1,748.046,859.494,760.352,108.583,111.28,1287.804,115.38
2005/7/4,747.086,855.932,749.483,108.723,111.32,1282.5749,113.91
2005/7/5,741.205,849.679,744.595,108.754,111.45,1286.771,113.72
2005/7/6,734.768,842.556,743.444,109.064,111.55,1295.447,113.4
2005/7/7,735.554,844.729,747.418,109.225,111.84,1314.6566,113.63
2005/7/8,727.556,829.489,722.854,109.418,112.01,1319.9658,113.34
2005/7/11,726.905,824.097,714.475,109.383,112.21,1321.3792,113.54
2005/7/12,753.06,851.816,739.534,109.542,112.22,1332.9034,114
2005/7/13,748.55,846.231,732.443,109.801,112.65,1320.1295,113.83
2005/7/14,753.639,849.59,732.544,109.859,112.55,1329.2886,113.74
2005/7/15,748.519,841.001,714.488,109.899,112.65,1330.9863,112.49
2005/7/18,746.921,832.995,696.848,109.891,112.75,1333.038,112.76
2005/7/19,747.485,835.608,703.066,109.71,112.74,1333.657,112.38
2005/7/20,753.546,842.641,707.293,109.539,112.91,1334.1035,112.37
2005/7/21,756.981,843.987,704.788,109.501,112.99,1337.0157,112.97
2005/7/22,768.724,859.693,721.445,109.519,113.03,1347.0051,111.83
2005/7/25,764.647,856.86,718.867,109.85,113.23,1372.1132,111.49
2005/7/26,780.753,876.48,735.861,109.995,113.73,1378.9534,111.21
2005/7/27,792.489,894.012,750.015,110.066,113.9,1367.7814,110.53
2005/7/28,789.853,890.885,747.23,110.197,113.95,1387.2038,111.18
2005/7/29,788.632,888.164,744.825,110.104,114.34,1379.9548,111.67
2005/8/1,789.996,891.607,750.488,110.395,114.48,1373.8409,112.37
2005/8/2,797.348,903.598,763.29,110.408,114.61,1372.6787,112.53
2005/8/3,797.744,909.57,769.752,110.343,114.76,1374.9223,112.3
2005/8/4,795.145,904.15,765.262,110.309,114.68,1364.1004,113.15
2005/8/5,812.329,923.803,787.819,110.373,114.63,1365.4452,113.11
2005/8/8,812.722,927.471,800.117,110.32,114.72,1352.8057,113.15
2005/8/9,814.611,933.089,814.186,110.143,115.1,1359.8665,112.95
2005/8/10,822.164,940.37,823.839,110.261,115.09,1337.4219,113.1
2005/8/11,832.238,953.992,832.841,109.922,114.92,1357.0458,113.78
2005/8/12,822.329,938.316,816.386,110.008,114.98,1350.2946,115.05
2005/8/15,839.512,954.502,839.667,110.026,115.12,1364.1436,114.54
2005/8/16,828.229,945.058,839.264,110.129,115.26,1369.9357,114.35
2005/8/17,833.838,953.012,854.526,110.033,115.39,1368.7202,114.8
2005/8/18,814.291,920.671,820.664,110.082,115.51,1356.1674,114
2005/8/19,817.685,923.038,820.869,110.006,115.65,1348.1823,114.32
2005/8/22,823.083,931.673,831.496,110.218,115.78,1359.4871,114.15
2005/8/23,818.053,923.414,816.914,110.486,115.89,1373.0802,114.47
2005/8/24,825.453,930.651,826.716,110.308,116.26,1370.4406,114.01
2005/8/25,823.576,930.118,836.418,110.439,116.15,1367.5341,114.39
2005/8/26,822.197,928.258,840.431,110.254,116.06,1367.5341,114.37
2005/8/29,811.312,917.371,832.248,110.172,115.97,1376.0171,114.74
2005/8/30,809.063,914.88,827.55,110.087,116.04,1372.8152,114
2005/8/31,816.755,927.916,845.142,110.04,116.11,1383.475,113.4
2005/9/1,827.9,944.559,865.405,110.017,116.14,1379.1068,113.72
2005/9/2,829.463,947.871,872.485,109.992,116.09,1385.0935,114.7
2005/9/5,829.341,952.717,884.29,109.953,116.09,1399.6156,115.4
2005/9/6,815.753,936.61,862.491,110.346,116.13,1397.6674,115.01
2005/9/7,825.118,952.758,888.125,110.141,116.27,1390.7302,115.56
2005/9/8,827.116,955.282,889.69,110.349,116.34,1400.3006,115.4
2005/9/9,823.639,949.065,879.503,110.334,116.36,1391.2471,115.99
2005/9/12,821.978,949.506,883.561,110.502,116.45,1385.2845,116.1
2005/9/13,829.92,963.774,904.311,110.545,116.54,1384.5302,115.86
2005/9/14,834.013,970.193,914.983,110.511,116.58,1382.8512,115.9
2005/9/15,833.509,969.598,918.505,110.582,116.61,1381.3379,116.35
2005/9/16,830.621,967.495,917.638,110.896,116.73,1368.6497,117.69
2005/9/19,831.569,971.136,930.489,110.997,116.8,1364.6834,118.09
2005/9/20,827.266,961.919,924.16,110.743,116.82,1383.7698,120.07
2005/9/21,811.135,944.408,909.787,110.738,117,1388.0432,120.6
2005/9/22,796.939,923.274,880.013,111.051,117.1,1412.3068,122.33
2005/9/23,793.163,916.154,868.549,111.071,117.03,1411.3105,120.83
2005/9/26,793.73,918.485,874.84,111.071,117.13,1410.1217,119.9
2005/9/27,782.235,904.214,856.958,110.793,117.29,1420.0116,120.75
2005/9/28,782.998,903.719,852.359,111.208,117.53,1423.6273,120.26
2005/9/29,792.251,915.975,871.291,111.345,117.66,1429.9269,122
2005/9/30,793.652,917.392,869.509,111.277,117.75,1426.9285,121.84
2005/10/10,787.748,907.321,858.748,111.516,117.93,1469.6716,123
2005/10/11,796.071,919.72,878.623,111.8,118.12,1469.1159,123.09
2005/10/12,795.324,923.485,887.711,111.755,118.26,1484.3788,123.68
2005/10/13,788.361,916.499,883.45,111.945,118.48,1479.4999,123.08
2005/10/14,777.492,904.828,876.053,112.143,118.65,1468.7701,122.69
2005/10/17,769.321,897.623,878.757,112.303,118.93,1487.4668,122.65
2005/10/18,771.448,902.366,893.699,112.206,119.09,1499.5087,123.06
2005/10/19,769.682,898.744,886.314,112.38,119.17,1482.0908,122.2
2005/10/20,773.676,899.915,886.551,112.485,119.19,1487.6465,121.11
2005/10/21,774.058,904.414,895.027,112.366,119.19,1461.3482,120.6
2005/10/24,771.154,906.652,897.757,112.52,119.06,1475.046,120.6
2005/10/25,765.029,894.272,877.577,111.941,118.86,1465.4981,121.04
2005/10/26,749.125,875.82,854.028,112.314,118.46,1472.0698,122.82
2005/10/27,751.261,875.849,847.593,112.159,118.4,1460.4713,122.98
2005/10/28,749.964,867.729,825.063,111.904,118.43,1465.2043,122.71
2005/10/31,759.239,876.282,828.659,111.636,118.23,1453.4465,122.41
2005/11/1,757.053,872.865,823.328,111.808,118.41,1463.0617,121.38
2005/11/2,762.938,882.478,840.316,111.691,118.57,1467.638,120.55
2005/11/3,755.777,874.575,828.906,111.57,118.61,1465.3143,121.24
2005/11/4,758.924,878.361,835.122,111.363,118.62,1462.9696,120.33
2005/11/7,754.201,877.278,842.002,111.595,118.72,1454.775,119.6
2005/11/8,758.322,881.524,848.965,111.233,118.5,1453.5785,119.25
2005/11/9,756.171,879.252,845.11,110.86,118.46,1451.7441,120.6
2005/11/10,746.352,862.968,821.269,110.814,118.43,1450.5603,121.29
2005/11/11,746.45,864.79,823.956,110.464,118.18,1463.3274,121
2005/11/14,743.345,862.149,827.569,110.735,118.26,1469.774,122.15
2005/11/15,739.234,856.635,820.491,110.789,118.38,1468.0396,121.51
2005/11/16,744.138,863.119,826.692,110.366,118.42,1467.3978,122.15
2005/11/17,743.799,862.658,825.797,110.439,118.41,1462.89,123.25
2005/11/18,760.566,882.241,843.738,110.138,118.39,1457.4549,125.34
2005/11/21,758.555,883.871,846.958,110.094,118.46,1461.9534,125.82
2005/11/22,747.307,869.617,831.771,110.372,118.56,1466.8534,127.08
2005/11/23,754.156,876.229,838.117,110.321,118.54,1437.1354,127.28
2005/11/24,761.662,881.493,841.699,110.506,118.49,1450.033,127.87
2005/11/25,766.678,884.105,841.13,110.415,118.7,1468.6109,128.46
2005/11/28,762.905,880.167,838.342,110.546,118.95,1451.1498,129
2005/11/29,755.293,871.31,827.005,110.663,119.06,1452.5175,129.5
2005/11/30,759.633,873.825,829.5,110.589,119.07,1472.107,129
2005/12/1,758.936,873.067,828.193,110.534,119.16,1476.0724,128.85
2005/12/2,757.021,869.936,817.864,110.783,119.18,1508.4553,130.38
2005/12/5,751.353,859.61,796.926,110.361,119.07,1522.977,131.99
2005/12/6,760.202,866.075,798.878,111.174,119.22,1527.9315,131.9
2005/12/7,767.543,873.838,806.778,111.134,119.23,1540.4387,133.39
2005/12/8,765.555,874.056,805.561,111.148,119.49,1551.6827,134.79
2005/12/9,777.031,887.358,819.2,111.161,119.43,1569.5308,136.3
2005/12/12,774.709,888.518,824.518,111.318,119.43,1603.0856,139.45
2005/12/13,773.589,889.101,824.861,111.614,119.55,1575.2911,136.19
2005/12/14,778.494,898.153,832.513,111.596,119.56,1592.4665,133.88
2005/12/15,778.233,896.434,827.539,111.75,119.63,1568.7278,131.65
2005/12/16,782.04,902.561,834.537,111.679,119.7,1568.976,129.63
2005/12/19,781.804,902.91,834.712,111.697,119.63,1581.7166,132.38
2005/12/20,787.234,907.318,836.119,111.827,119.67,1578.4757,132
2005/12/21,783.984,903.144,830.766,111.807,119.72,1578.8865,128.61
2005/12/22,787.388,908.754,835.503,111.783,119.72,1598.2876,129.34
2005/12/23,791.441,915.89,845.589,112.102,119.66,1611.1283,131.23
2005/12/26,795.559,922.378,853.169,112.083,119.91,1641.6295,131.73
2005/12/27,792.155,919.36,854.526,111.94,120.14,1642.0624,132.21
2005/12/28,793.54,920.919,857.206,112.267,120.17,1646.9633,132.81
2005/12/29,801.899,932.031,866.747,111.996,120.25,1626.8791,134.17
2005/12/30,796.396,923.451,860.131,111.93,120.3,1636.1191,133.55
2006/1/4,812.597,941.428,871.73,112.529,120.35,1660.3865,138.21
2006/1/5,827.836,959.134,882.732,112.441,120.42,1663.9957,137.89
2006/1/6,836.895,970.032,891.94,112.555,120.76,1673.5372,136.81
2006/1/9,838.292,975.253,905.068,112.761,120.97,1678.9568,140.44
2006/1/10,838.563,978.154,911.191,112.961,120.99,1693.8586,140.94
2006/1/11,832.276,973.477,906.496,112.977,121.17,1693.3108,141.07
2006/1/12,836.579,983.716,927.42,112.993,121.31,1699.0319,141.85
2006/1/13,831.136,978.809,932.499,113.124,121.33,1707.6436,141.6
2006/1/16,814.891,961.439,920.332,112.989,121.61,1744.7579,143.65
2006/1/17,818.355,964.29,919.279,113.055,121.99,1743.679,144.34
2006/1/18,835.15,983.622,939.136,113.288,122.03,1706.3573,141.99
2006/1/19,840.591,991.222,949.913,113.056,122.03,1739.0488,143.16
2006/1/20,840.376,993.34,952.769,113.008,121.96,1733.8007,143.86
2006/1/23,840.128,996.162,961.069,112.973,121.46,1741.8471,144.05
2006/1/24,838.46,999.093,960.353,113.121,121.19,1759.7017,144
2006/1/25,846.989,1009.597,957.787,113.184,121.35,1781.5605,143.95
2006/2/6,861.07,1033.234,980.91,113.504,122.9,1906.3732,147.8
2006/2/7,856.669,1029.937,981.574,113.324,122.9,1974.9094,147.82
2006/2/8,862.575,1033.072,982.943,113.25,122.72,1899.7348,142.55
2006/2/9,850.802,1019.599,969.577,113.344,122.92,1946.6488,144.59
2006/2/10,859.97,1032.337,980.801,113.538,122.66,1919.789,145.19
2006/2/13,859.598,1031.614,977.396,113.553,122.81,1866.6051,141.91
2006/2/14,862.648,1038.531,986.056,113.511,122.92,1854.2401,139.62
2006/2/15,868.021,1041.66,986.161,113.666,123.14,1870.1347,141.85
2006/2/16,856.05,1020.121,958.59,113.521,123.11,1811.7646,142
2006/2/17,857.994,1020.368,949.993,113.609,122.81,1784.7185,141.44
2006/2/20,857.973,1021.639,943.765,113.497,123.06,1802.6904,143.68
2006/2/21,872.565,1038.816,960.017,113.304,123.14,1824.0279,143.5
2006/2/22,870.097,1037.885,959.947,113.274,123.06,1815.7941,143.61
2006/2/23,877.654,1041.373,958.722,113.22,123.11,1791.9285,143.15
2006/2/24,882.777,1049.444,967.163,113.309,122.79,1808.6156,143.28
2006/2/27,887.616,1047.845,963.379,113.328,122.88,1775.7458,143.76
2006/2/28,892.904,1053.01,964.726,113.594,122.79,1765.3354,143.44
2006/3/1,895.626,1056.619,972.067,113.408,122.8,1762.349,144.77
2006/3/2,876.621,1038.666,953.369,113.34,123.12,1801.2619,145.55
2006/3/3,880.371,1041.677,954.457,113.531,123.03,1824.9692,146.69
2006/3/6,879.33,1038.873,952.351,113.382,123.24,1825.0914,146.8
2006/3/7,861.865,1014.973,928.576,113.594,123.09,1807.3247,144.85
2006/3/8,859.32,1009.271,924.83,113.667,123.19,1786.0875,143.22
2006/3/9,853.381,1004.344,920.13,113.688,123.42,1791.301,141.85
2006/3/10,857.143,1008.897,921.683,113.657,123.44,1764.2915,141.75
2006/3/13,863.677,1019.864,928.518,113.732,123.5,1777.4695,141.45
2006/3/14,860.874,1018.272,931.721,113.698,123.53,1782.5827,141.65
2006/3/15,868.324,1028.958,942.689,113.684,123.31,1785.4127,142.62
2006/3/16,865.722,1027.616,945.523,113.71,123.43,1771.4926,142.52
2006/3/17,863.267,1024.015,943.725,113.743,123.66,1798.241,143.45
2006/3/20,875.126,1037.659,956.138,113.646,123.66,1835.2402,144
2006/3/21,875.232,1040.757,959.927,113.696,123.61,1832.4399,142.95
2006/3/22,875.823,1047.666,972.137,113.515,123.58,1824.9431,142.8
2006/3/23,875.108,1048.537,980.841,113.359,123.55,1835.5403,141.87
2006/3/24,869.439,1042.601,974.269,113.432,123.36,1845.3729,142.05
2006/3/27,872.557,1050.707,984.152,113.354,123.18,1855.2188,144.77
2006/3/28,874.773,1055.982,994.52,113.566,123.35,1855.5185,145.7
2006/3/29,885.291,1065.294,997.704,113.6,123.32,1838.0534,144.98
2006/3/30,877.781,1055.634,986.957,113.493,123.25,1851.7574,147.79
2006/3/31,878.366,1061.088,1000.251,113.575,123.28,1875.1212,150.4
2006/4/3,891.556,1079.322,1025.788,113.583,123.29,1863.7484,150.39
2006/4/4,900.84,1089.371,1038.109,113.69,123.04,1903.4906,151.1
2006/4/5,906.301,1099.97,1048.666,113.568,122.62,1894.1438,150.4
2006/4/6,901.647,1103.237,1053.693,113.552,122.55,1925.3904,152.59
2006/4/7,897.312,1103.154,1068.11,113.615,122.58,1948.6322,153.13
2006/4/10,909.281,1117.91,1090.72,113.59,122.44,1969.5962,153.3
2006/4/11,912.391,1123.308,1094.409,113.464,122.32,2003.4456,155.05
2006/4/12,908.948,1117.073,1095.497,113.431,122.2,1997.0979,154.15
2006/4/13,892.133,1093.925,1062.69,113.421,122.3,2007.3889,153.55
2006/4/14,910.633,1118.607,1088.183,113.361,122.27,2039.3355,154.74
2006/4/17,921.21,1124.414,1093.513,113.289,122.37,2095.105,156.32
2006/4/18,927.478,1131.281,1097.73,112.983,122.28,2090.8621,158.77
2006/4/19,930.833,1138.241,1100.661,112.939,122.21,2139.7466,160.69
2006/4/20,922.05,1134.381,1091.851,112.965,122.04,2135.4676,165.69
2006/4/21,939.873,1149.158,1102.547,113.119,121.97,2081.3689,159.36
2006/4/24,940.902,1142.698,1094.375,113.09,122.16,2161.6422,162.74
2006/4/25,931.323,1141.93,1103.059,113.198,122.11,2182.9085,162
2006/4/26,948.207,1155.726,1116.811,113.19,121.94,2223.9383,163
2006/4/27,943.343,1155.268,1125.32,113.229,121.98,2278.5582,164.4
2006/4/28,964.446,1172.347,1141.685,113.373,121.98,2248.5143,164.39
2006/5/8,996.235,1218.445,1180.728,113.393,122.02,2311.8409,175.67
2006/5/9,1017.619,1251.611,1218.094,113.487,121.62,2376.9496,174.19
2006/5/10,1022.999,1265.933,1241.571,113.774,121.74,2471.5916,181.15
2006/5/11,1012.9,1255.035,1237.772,113.879,121.89,2581.6929,183.24
2006/5/12,1050.958,1296.257,1283.677,113.759,121.88,2628.7693,185.53
2006/5/15,1086.001,1352.155,1344.924,113.608,121.88,2691.4687,184.45
2006/5/16,1079.705,1331.127,1297.932,113.833,122.02,2569.2064,175.15
2006/5/17,1080.965,1335.523,1318.966,113.784,121.94,2611.9236,181.8
2006/5/18,1068.202,1331.201,1328.206,113.785,122.05,2519.021,177.4
2006/5/19,1096.206,1366.097,1365.647,113.835,121.97,2483.62,177.37
2006/5/22,1095.568,1373.674,1386.748,113.83,121.88,2395.1289,166.67
2006/5/23,1058.991,1317.654,1326.156,113.699,121.9,2388.5185,170
2006/5/24,1055.809,1308.242,1308.693,113.818,121.89,2466.6779,172.27
2006/5/25,1050.696,1307.697,1324.919,113.713,121.9,2470.0555,167.69
2006/5/26,1064.128,1331.02,1355.501,113.756,121.89,2497.5991,168.49
2006/5/29,1090.571,1366.292,1387.524,113.714,121.83,2571.5258,167.81
2006/5/30,1092.251,1378.756,1410.542,113.759,121.89,2560.2507,168.83
2006/5/31,1078.863,1365.451,1402.332,113.667,121.87,2486.6885,168.83
2006/6/1,1106.233,1402.879,1455.741,113.682,121.85,2413.6838,163.67
2006/6/2,1097.509,1390.116,1457.763,113.489,121.69,2423.5555,162.03
2006/6/5,1102.904,1403.163,1484.29,113.327,121.72,2475.8569,165.39
2006/6/6,1100.56,1399.142,1470.449,113.223,121.69,2412.5427,164.2
2006/6/7,1046.422,1320.233,1370.809,112.965,121.62,2392.9771,161.5
2006/6/8,1057.083,1325.979,1376.079,113.015,121.71,2391.4834,160.32
2006/6/9,1031.458,1294.185,1346.481,113.019,121.69,2347.1357,157.41
2006/6/12,1034.681,1297.67,1352.582,113.026,121.66,2324.6452,155.67
2006/6/13,1032.618,1298.276,1361.526,112.993,121.66,2242.6222,152.9
2006/6/14,1022.12,1283.88,1347.878,112.924,121.65,2161.9399,144.94
2006/6/15,1021.992,1285.385,1352.336,113.052,121.46,2183.9604,147.7
2006/6/16,1047.332,1318.01,1382.41,113.151,121.25,2216.6106,150.69
2006/6/19,1056.636,1334.893,1397.995,112.891,121.08,2154.3673,147.69
2006/6/20,1060.542,1338.223,1414.905,112.864,121.12,2167.1579,146.1
2006/6/21,1056.501,1333.532,1410.502,112.707,121.08,2176.4138,149.25
2006/6/22,1057.231,1331.553,1411.278,112.802,120.89,2226.5168,153.15
2006/6/23,1061.412,1339.446,1430.513,112.811,120.82,2170.9093,150.3
2006/6/26,1083.046,1363.413,1457.137,112.909,120.8,2169.307,151.35
2006/6/27,1081.131,1363.896,1464.686,113.036,120.67,2210.9451,151.69
2006/6/28,1080.608,1362.885,1461.793,112.983,121.01,2181.5058,150
2006/6/29,1105.048,1395.124,1488.164,113.103,120.96,2178.7895,149.69
2006/6/30,1102.696,1393.963,1485.995,113.173,120.92,2254.8295,154.02
2006/7/3,1125.358,1420.328,1514.068,113.155,120.87,2301.7925,159.19
2006/7/4,1115.169,1411.013,1508.839,113.076,121.12,2276.3751,159.72
2006/7/5,1092.818,1393.009,1497.656,113.072,121.09,2280.9666,160.5
2006/7/6,1109.827,1418.675,1539.177,113.065,121.12,2272.217,160.72
2006/7/7,1099.06,1410.429,1541.253,112.96,121.11,2330.4563,162.3
2006/7/10,1098.813,1412.124,1550.04,113.074,121.1,2298.2681,161.69
2006/7/11,1101.82,1418.575,1561.843,113.202,121.18,2318.7911,160.9
2006/7/12,1100.592,1419.199,1562.06,113.176,121.16,2339.8222,164.39
2006/7/13,1051.979,1346.088,1459.778,113.109,120.97,2315.9648,166.85
2006/7/14,1059.255,1357.129,1470.467,112.982,120.96,2323.335,169.05
2006/7/17,1067.531,1372.254,1494.793,113.006,120.98,2338.4962,173.55
2006/7/18,1064.746,1373.416,1506.592,112.71,120.97,2282.6276,167.61
