,代码,名称,收入同比%%,利润同比%%,营业利润率%%,市销率,市净率,市现率,市盈(动),总金额,量比,细分行业,地区,振幅%%,均价,内盘,外盘,内外比,买量,卖量,未匹配量,流通股本(万),流通市值,AB股总市值,强弱度%%,活跃度,每笔均量,每笔换手,财务更新,上市日期,总股本(万),B股(或A),H股,总资产(万),净资产,少数股权,资产负债率%%,流动资产,固定资产,无形资产,流动负债,公积金,存货,应收帐款,营业收入,营业成本,营业利润,投资收益,利润总额,税后利润,净利润,未分利润,经营现金流,总现金流,股东人数,人均持股,人均市值,换手%%,涨速%%,最低,昨收,最高,每股收益,每股净资,调整后净资,每股公积,每股未分配,权益比,净益率%%,销售毛利率%%,今开,净利润率%%,total1,total2,total3,total4
10,000012,南  玻Ａ,1.85,-65.08,4.54,5.51,2.44,51.98,44.53,193229792.0,0.82,玻璃,深圳,10.0,8.87,116690.0,101175.0,1.15,8.0,5638.0,,130255.21,115.02,        183.25亿,-2.96,2795.0,78.0,0.0006,20150818.0,19920228.0,207533.56,76247.36,0.0,1532177.5,751798.81,5936.5,50.55,167878.86,986040.19,92993.05,688688.94,126095.81,49580.39,56546.8,332303.94,264602.06,15099.25,4245.43,22712.3,22059.64,20576.73,326942.03,35256.37,2772.42,156909.0,8301.0,7.33万,1.67,-0.78,8.42,9.2,9.34,0.099㈡,3.62,0.0,0.61,1.58,49.07,          2.74㈡,20.37,8.69,6.19,68227864.075,13314622.475,5121.8406,999.5238
11,000014,沙河股份,-4.24,-41.64,-2.84,17.32,4.71,-121.89,109.17,219321088.0,0.81,全国地产,深圳,12.54,16.33,69525.0,64762.0,1.07,0.0,3745.0,,20170.51,31.87,         31.87亿,-8.91,3214.0,42.0,0.0021,20150822.0,19920602.0,20170.51,0.0,0.0,212902.91,67670.53,5829.8,65.48,192287.13,2156.65,79.0,67852.5,996.57,171984.27,723.16,18403.52,12838.83,-522.26,0.0,800.15,1547.82,1459.62,26487.8,-2614.57,-11472.83,16662.0,12106.0,19.13万,6.66,0.0,15.8,17.55,18.0,0.072㈡,3.35,0.0,0.05,1.31,31.78,          2.16㈡,30.24,15.8,7.93,23242610.6847,3363865.978,3479.2479,503.546
12,000016,深康佳Ａ,6.61,-768.9,-4.72,4.06,9.56,518.42,,0.0,0.0,家用电器,深圳,0.0,30.16,0.0,0.0,,0.0,0.0,,59991.5,180.93,        363.12亿,1.06,0.0,,,20150829.0,19920327.0,120397.27,40561.23,0.0,1613279.88,379772.44,25601.52,74.87,1254657.25,175997.06,35464.85,1118923.5,129187.72,374580.47,220586.95,894455.88,779121.56,-42192.05,718.53,-35571.98,-30461.8,-29695.35,43702.95,7004.28,43399.62,51744.0,11594.0,34.97万,0.0,,,30.16,,-0.247㈡,3.15,0.0,1.07,0.36,23.54,         -7.82㈡,12.89,,-3.32,,,,
13,000017,深中华A,-10.66,-77.8,1.03,62.02,385.33,-844.95,5704.28,92336840.0,0.83,文教休闲,深圳,13.66,9.02,57267.0,45117.0,1.27,568.0,472.0,,30297.88,26.09,         47.47亿,-6.36,2243.0,46.0,0.0015,20150820.0,19920331.0,55134.78,24836.3,0.0,5630.58,1231.95,176.91,74.98,5110.05,105.18,414.15,4221.72,62783.42,1495.97,700.89,7653.68,6999.25,78.83,0.0,83.23,59.25,41.61,-119953.57,-561.82,-584.03,42768.0,7084.0,6.10万,3.38,0.11,8.41,9.3,9.68,0.001㈡,0.02,0.0,1.14,-2.18,21.88,          3.38㈡,8.55,8.86,0.54,32118404.8824,49886.9388,148824.6652,231.1574
14,000018,中冠A,9.69,-182.42,-10.93,577.01,24.59,3524.96,,65425576.0,0.78,纺织,深圳,12.14,19.29,18707.0,15213.0,1.23,18.0,324.0,,9972.04,18.95,         32.14亿,-6.3,1051.0,32.0,0.0032,20150829.0,19920616.0,16914.24,6942.18,0.0,17323.35,13069.38,-174.21,25.56,6445.16,114.51,176.0,3357.73,3939.15,0.0,0.0,556.96,192.25,-60.85,-5.01,-60.85,-60.85,-60.85,-10437.67,91.17,84.89,9947.0,10025.0,19.05万,3.4,0.26,18.65,20.51,21.14,-0.004㈡,0.77,0.0,0.23,-0.62,75.44,         -0.47㈡,65.48,18.66,-10.93,,323253.711,,353.607
15,000019,深深宝Ａ,38.14,122.74,0.82,15.13,2.53,112.8,232.43,68744408.0,0.54,软饮料,深圳,11.43,8.47,38074.0,43053.0,0.88,182.0,18.0,,25225.24,20.71,         24.72亿,-5.11,1719.0,47.0,0.0019,20150825.0,19921012.0,30108.01,3136.32,0.0,110760.47,97619.56,2626.73,9.49,50343.43,38728.65,19363.92,8931.57,51818.64,13736.17,5826.85,16335.61,10557.76,133.61,63.04,721.01,252.48,531.75,10744.55,2191.36,-8633.05,22334.0,11295.0,9.27万,3.22,1.23,8.0,8.75,9.0,0.018㈡,3.24,0.0,1.72,0.36,88.14,          0.54㈡,35.37,8.28,3.26,25744056.0421,917096.6916,4813.6253,171.4788
16,000020,深华发Ａ,-32.15,873.76,5.22,14.64,12.32,213.84,128.43,62347408.0,0.66,元器件,深圳,10.43,13.3,26622.0,20271.0,1.31,0.0,2444.0,,6467.54,8.32,         36.41亿,-8.95,1938.0,24.0,0.0037,20150825.0,19920428.0,28316.11,10199.58,0.0,117277.86,29552.85,0.0,74.8,89046.46,19419.28,4711.95,30418.46,10949.67,3388.9,14503.09,24873.46,20746.35,1297.45,2950.06,1346.83,1417.72,1417.72,-17452.1,1702.85,-139.17,30469.0,2123.0,2.73万,7.25,0.0,12.86,14.29,14.35,0.050㈡,1.04,0.0,0.39,-0.62,25.2,          4.80㈡,16.59,12.86,5.7,15061995.5598,1508193.2796,1068.5376,106.9952
17,000021,深科技,-6.38,1699.63,2.26,1.63,2.25,68.05,42.46,304994272.0,0.96,电脑设备,深圳,11.73,7.79,230212.0,161190.0,1.43,1007.0,4636.0,,146981.44,117.59,        117.70亿,3.1,3526.0,111.0,0.0008,20150828.0,19940202.0,147125.94,0.0,0.0,1431806.75,523259.41,178.71,63.44,1084877.38,142943.23,14637.97,901261.88,69671.27,79898.0,190567.38,719910.75,692232.88,16246.4,870.53,16821.6,13861.4,13861.4,166234.69,17296.7,-62741.78,103573.0,14191.0,11.35万,2.66,-0.24,7.16,7.84,8.08,0.094㈡,3.56,0.0,0.47,1.13,36.55,          2.65㈡,3.84,7.35,1.93,60794514.605,10523779.6125,4992.8714,864.2865
18,000022,深赤湾Ａ,0.55,2.82,39.03,19.3,4.1,46.52,35.13,0.0,0.0,港口,深圳,0.0,26.37,0.0,0.0,,0.0,0.0,,46486.73,122.59,        170.02亿,1.06,0.0,,,20150827.0,19930505.0,64476.37,17952.9,0.0,671161.06,415142.78,82784.78,25.81,61413.25,322338.03,106595.97,114247.15,16269.85,1935.85,23298.57,88078.8,46342.75,34375.2,4883.49,34466.9,31021.05,24197.73,282759.34,36552.25,-16091.26,35935.0,12936.0,34.11万,0.0,,,26.37,,0.375㈡,6.44,0.0,0.25,4.39,61.85,          5.83㈡,47.38,,27.47,23577888.0378,,4306.5867,
19,000023,深天地Ａ,-8.58,258.45,3.82,10.1,11.52,-115.6,196.34,0.0,0.0,建筑施工,深圳,0.0,30.53,0.0,0.0,,0.0,0.0,,13875.62,42.36,         42.36亿,1.06,0.0,,,20150805.0,19930429.0,13875.62,0.0,0.0,145998.92,36757.0,6244.8,70.55,130420.27,11728.42,915.5,101797.43,10252.63,43474.93,64254.88,41941.6,35167.3,1601.55,0.0,1693.45,1079.18,1078.82,8098.81,-3664.66,-1673.89,10139.0,13685.0,41.78万,0.0,,,30.53,,0.078㈡,2.65,0.0,0.74,0.58,25.18,          2.94㈡,16.15,,2.57,28665427.9528,,8316.9624,
20,000024,招商地产,12.01,20.17,19.3,4.53,2.49,-11.07,18.99,0.0,0.0,全国地产,深圳,0.0,31.64,0.0,0.0,,0.0,0.0,,102641.64,324.76,        815.03亿,1.06,0.0,,,20150825.0,19930607.0,257595.06,21235.74,0.0,16880926.0,3277769.0,1462113.88,71.92,15599496.0,178590.06,50320.71,8379581.5,889169.63,11270854.0,7573.81,1797394.75,1198651.0,346904.34,49311.46,347904.94,238814.72,214550.22,1998477.63,-736109.5,75150.46,98350.0,10436.0,33.02万,0.0,,,31.64,,0.833㈡,12.72,0.0,3.45,7.76,19.42,          6.55㈡,33.31,,11.94,320568784.74,,6167.1924,
21,000025,特  力Ａ,-30.7,38.56,5.36,40.14,7.64,187.87,415.79,270628288.0,0.73,汽车服务,深圳,10.89,22.0,38998.0,84010.0,0.46,0.0,15048.0,,17929.46,38.37,         63.62亿,-8.95,2626.0,47.0,0.0026,20150826.0,19930621.0,29728.16,2640.0,0.0,114397.47,83305.06,1010.84,26.3,43726.55,13973.1,5332.06,26412.19,56419.26,839.0,410.25,15849.17,11693.95,849.78,62.42,850.94,730.87,765.03,-3137.61,3386.28,5120.91,13306.0,13475.0,28.84万,6.86,0.0,21.4,23.78,23.99,0.026㈡,2.8,0.0,1.9,-0.11,72.82,          0.92㈡,26.22,21.4,4.83,47565324.0513,2448105.858,15953.8623,821.118
22,000026,飞亚达Ａ,2.51,-17.19,5.58,2.06,2.08,20.18,23.77,92960400.0,0.74,其他商业,深圳,12.2,9.11,55193.0,46812.0,1.18,18.0,1502.0,,31107.0,27.53,         34.76亿,-5.09,2505.0,41.0,0.0013,20150814.0,19930603.0,39276.78,8164.79,0.0,382085.0,167439.77,324.91,56.09,280158.22,36787.03,3527.9,156355.16,52550.81,209619.17,44730.46,168379.31,103798.17,9403.76,25.0,9554.21,7328.05,7310.93,60065.21,17225.36,4432.0,23948.0,12989.0,11.50万,3.28,0.11,8.65,9.43,9.8,0.186㈡,4.26,0.0,1.34,1.53,43.82,          4.37㈡,38.35,8.77,4.34,9082160.45,3350885.45,654.3881,241.4381
23,000027,深圳能源,-10.95,-0.68,23.14,7.06,1.75,21.4,18.89,755060288.0,0.89,火力发电,深圳,11.17,10.16,379066.0,363872.0,1.04,6546.0,476.0,,143752.5,140.59,        387.73亿,-7.88,4309.0,172.0,0.0012,20150821.0,19930903.0,396449.16,0.0,0.0,4877652.5,2211363.5,272459.13,49.08,1519723.38,1530528.63,338992.69,1740750.63,431470.25,128751.6,281403.09,548868.19,383711.34,127010.85,27950.99,148326.63,120469.86,102628.9,709002.69,181163.09,243112.5,150842.0,9530.0,9.32万,5.17,-0.3,9.67,10.74,10.87,0.259㈡,5.58,0.0,1.09,1.79,45.34,          4.64㈡,30.09,9.97,18.7,92138855.725,48630195.425,2655.7451,1401.6823
24,000028,国药一致,10.34,10.91,3.77,1.68,4.23,47.97,27.76,120578224.0,0.69,医药商业,深圳,10.24,57.24,12676.0,8388.0,1.51,3.0,161.0,,23326.17,138.3,        215.00亿,2.24,1415.0,15.0,0.0006,20150820.0,19930809.0,36263.19,5488.56,0.0,1381265.63,507940.06,9936.86,62.51,1196423.38,71104.05,14120.9,833908.88,186389.45,222712.34,785894.19,1281380.38,1180166.13,48244.95,2827.4,49499.1,39964.21,38731.92,267155.81,44823.95,30333.43,16448.0,14182.0,84.08万,0.9,0.27,54.0,58.6,60.0,1.068㈡,14.01,0.0,5.14,7.37,36.77,          7.63㈡,7.9,55.0,3.02,38343933.8888,75969609.65,3839.208,7606.5
25,000029,深深房Ａ,100.24,436.7,21.74,9.07,4.43,22.83,27.92,484407328.0,0.98,区域地产,深圳,16.56,10.76,217776.0,232548.0,0.94,208.0,275.0,,89166.0,91.75,        104.10亿,-2.68,4147.0,109.0,0.0012,20150829.0,19930915.0,101166.0,12000.0,0.0,446255.59,234804.59,-12855.69,50.26,386676.97,5078.18,592.5,176249.91,97824.49,245441.84,27882.05,114755.27,69764.57,24944.74,22.03,24983.02,18640.4,18640.77,30635.47,45588.69,29651.56,56504.0,15780.0,16.24万,5.05,-0.86,9.81,10.69,11.58,0.184㈡,2.32,0.0,0.97,0.3,52.62,          7.94㈡,39.21,10.03,16.24,12459456.0728,4475943.5677,2561.66,920.2525
26,000030,富奥股份,-12.64,-12.16,13.96,4.86,2.51,51.99,19.35,183363136.0,1.0,汽车配件,吉林,15.63,8.15,121125.0,103987.0,1.16,1210.0,919.0,,56056.17,48.43,        111.74亿,6.55,2892.0,78.0,0.0014,20150826.0,19930929.0,129325.14,3415.63,0.0,733050.06,447114.06,45654.68,32.78,338260.63,132692.47,24812.51,190795.38,52170.23,49870.5,104112.15,229811.67,187988.91,32077.55,22155.57,32706.3,30669.1,28867.02,233545.02,21492.5,30332.55,39485.0,14197.0,12.27万,4.02,-0.23,7.45,8.19,8.73,0.223㈡,3.44,3.44,0.4,1.81,60.99,          6.46㈡,18.2,7.83,12.56,14184518.661,5739781.9698,937.1205,379.2069
27,000031,中粮地产,18.42,43.28,12.3,10.4,5.07,21.05,73.74,2413062144.0,0.82,全国地产,深圳,16.58,16.03,775601.0,729440.0,1.06,85.0,5430.0,,181372.02,289.83,        289.83亿,-2.96,4466.0,337.0,0.0019,20150829.0,19931008.0,181373.16,0.0,0.0,4955406.0,571915.5,497594.34,78.42,4418432.0,57702.0,6083.56,2739303.0,27988.26,3437255.5,8612.69,278614.63,224423.09,34266.85,63151.46,34404.05,17545.9,19651.47,267615.59,137694.13,189458.11,271225.0,6687.0,10.69万,8.3,-0.43,14.99,16.65,17.75,0.108㈡,3.15,0.0,0.15,1.48,11.54,          3.44㈡,19.45,15.33,7.05,365411638.44,75966373.98,21372.0642,4443.0939
28,000032,深桑达Ａ,-30.53,64.53,-1.02,5.77,3.3,-159.51,,104646392.0,0.96,元器件,深圳,12.62,12.81,45444.0,36240.0,1.25,0.0,1558.0,,23286.32,28.9,         28.90亿,-8.95,1954.0,42.0,0.0018,20150730.0,19931028.0,23286.42,0.0,0.0,129097.51,87636.75,13563.4,21.61,76735.77,5722.49,27604.85,27463.21,20723.75,27183.64,10105.53,50110.65,43395.25,-508.82,500.16,-489.68,-736.87,-352.85,21638.93,-1811.68,-3719.03,17575.0,13250.0,16.44万,3.51,0.0,12.41,13.79,14.15,-0.015㈡,3.76,0.0,0.89,0.93,67.88,         -0.40㈡,13.4,12.42,-0.7,,1603391.0742,,358.938
29,000034,深信泰丰,-13.1,-55.87,-3.93,16.22,18.05,-134.13,74.67,465637376.0,1.88,综合类,深圳,8.91,9.67,139905.0,341553.0,0.41,0.0,34246.0,,34006.42,32.31,         34.01亿,-8.89,2472.0,195.0,0.0057,20150818.0,19940509.0,35797.35,0.0,0.0,44637.65,18840.9,0.0,57.79,24746.42,5695.68,464.07,25723.68,64072.68,10318.95,2866.86,20967.13,18866.65,-824.85,702.57,2333.74,2277.25,2277.25,-87602.96,-2535.34,1337.12,28279.0,12025.0,11.42万,14.16,0.0,9.5,10.55,10.44,0.064㈡,0.53,0.0,1.79,-2.45,42.21,         12.09㈡,10.02,9.5,10.86,3333093.3255,424057.675,2412.5877,306.945
30,000035,中国天楹,57.52,10.36,26.77,26.45,2.44,83.23,53.77,76625840.0,0.54,通信设备,江苏,11.07,12.0,34817.0,29022.0,1.2,380.0,408.0,,35362.69,40.95,         71.71亿,-6.08,1862.0,34.0,0.001,20150805.0,19940408.0,61927.89,0.0,0.0,397917.28,168886.55,0.0,57.56,68817.88,71891.18,184495.27,118081.32,94385.43,5387.9,15374.57,27110.75,11568.38,7258.42,0.0,7765.57,6668.31,6668.31,37213.09,8616.19,-9350.45,27540.0,12840.0,14.87万,1.81,0.08,11.31,12.47,12.69,0.108㈡,4.74,4.74,1.52,0.6,42.44,          3.95㈡,57.33,11.5,24.6,21396012.1456,4576048.72,2201.8815,470.925
31,000036,华联控股,-15.97,-1346.03,-15.45,70.63,3.5,-20.56,,270707904.0,0.84,全国地产,深圳,12.52,6.16,238383.0,201293.0,1.18,1921.0,4673.0,,112388.02,66.76,         67.74亿,-2.35,3405.0,129.0,0.0011,20150831.0,19940617.0,114048.77,0.0,0.0,543445.69,190557.77,61538.88,53.61,441307.41,28780.1,625.93,74102.56,15546.49,345596.34,690.71,9591.55,5071.95,-1481.71,289.48,-1550.85,-1687.55,-1562.97,51339.5,-32948.2,63597.07,96281.0,11673.0,6.93万,3.91,0.16,5.8,6.15,6.57,-0.014㈡,1.7,1.7,0.14,0.45,35.06,         -0.82㈡,47.12,5.87,-16.3,,3190026.2003,,391.8812
32,000037,深南电Ａ,23.35,-36.28,-40.27,6.27,3.49,12.8,,96746168.0,1.06,火力发电,深圳,12.69,6.91,77478.0,62538.0,1.24,490.0,1881.0,,33889.51,22.94,         40.81亿,-7.58,2458.0,57.0,0.0017,20150825.0,19940701.0,60276.26,26385.44,0.0,514827.5,116807.65,8134.15,75.73,314164.0,180716.17,5517.27,347649.0,36275.07,127227.15,35697.21,65055.71,74690.77,-26198.13,-88.33,-12832.07,-12880.95,-10254.6,-13034.51,31885.51,29150.22,41617.0,8143.0,5.51万,4.13,-0.29,6.67,7.41,7.61,-0.170㈡,1.94,0.0,0.6,-0.22,22.69,         -8.78㈡,-14.81,6.67,-15.76,,3433899.425,,153.0098
33,000038,深大通,85.37,91.79,3.72,25.57,22.83,1792.48,,261935280.0,1.45,区域地产,深圳,10.66,26.34,36971.0,62468.0,0.59,0.0,1769.0,,2803.19,7.24,         24.87亿,-8.94,2192.0,45.0,0.0162,20150827.0,19940808.0,9622.79,0.0,0.0,63186.73,10893.57,3702.83,76.9,62300.03,6.17,0.0,47585.12,2234.82,55576.05,0.0,9725.74,7860.27,361.42,0.0,218.65,-82.51,-89.58,-1552.74,138.72,138.57,5457.0,5137.0,13.27万,35.47,0.0,25.84,28.71,28.9,-0.009㈡,1.13,0.0,0.23,-0.16,17.24,         -0.82㈡,19.18,26.4,-0.92,,1668129.672,,191.136
34,000039,中集集团,1.84,46.68,6.21,1.69,2.2,-88.37,18.2,951418304.0,1.48,轻工机械,深圳,12.9,20.02,268625.0,206572.0,1.3,59256.0,688.0,,125597.1,258.35,        258.48亿,6.82,3395.0,140.0,0.0011,20150828.0,19940408.0,268708.5,0.0,143048.05,9559349.0,2509667.25,513419.81,68.38,4754012.5,1900928.25,443919.91,5032664.0,86361.6,1949833.75,1277812.25,3263729.0,2751928.0,202674.41,74498.3,207747.8,165241.0,151819.5,1733712.38,-62545.3,63923.3,99247.0,12655.0,26.03万,3.78,-0.04,18.21,19.45,20.72,0.565㈡,9.34,0.0,0.32,6.45,26.25,          6.05㈡,15.68,18.5,4.65,173980151.8,176847956.5,4701.97,4779.475
35,000040,宝安地产,44.06,150.51,7.37,9.29,3.53,173.42,110.19,0.0,0.0,全国地产,深圳,0.0,9.67,0.0,0.0,,0.0,0.0,,46458.83,44.93,         45.41亿,1.06,0.0,,,20150826.0,19940808.0,46959.33,0.0,0.0,421361.69,128756.27,-23.63,69.45,389969.31,6924.57,1309.95,290961.41,27375.21,341285.97,1673.8,48903.23,29313.18,3602.62,-325.61,3573.08,2058.59,2060.6,35882.9,2618.49,-20977.4,52682.0,8819.0,8.53万,0.0,,,9.67,,0.044㈡,2.74,0.0,0.58,0.76,30.56,          1.60㈡,40.06,,4.21,46429844.6211,,4950.8367,
36,000042,中洲控股,72.95,49.01,25.39,2.75,1.75,-12.75,7.64,88874248.0,0.54,全国地产,深圳,9.31,13.64,31652.0,33514.0,0.94,310.0,405.0,,47879.07,63.97,         63.98亿,-3.24,1791.0,36.0,0.0008,20150829.0,19940921.0,47892.6,0.0,0.0,2052834.38,364666.91,107.58,82.23,1657580.13,17929.82,616.53,1076935.75,58488.8,1495457.63,1188.02,232675.84,111420.42,59065.51,545.31,58308.31,41878.12,41878.12,215823.41,-50188.05,-14787.45,27173.0,17620.0,23.54万,1.36,-0.22,13.0,13.96,14.3,0.874㈡,7.61,0.0,1.22,4.51,17.76,         11.48㈡,52.11,13.3,18.0,15683654.6632,27302697.254,488.7308,850.801
