代码,名称,净资产,少数股权,资产负债率%%,流动资产,固定资产,无形资产,流动负债,公积金,存货,应收帐款,营业收入,营业成本
000058,深 赛 格,143590.38,20101.01,34.42,122358.88,3882.9,105.83,83259.75,50654.34,41353.53,13577.34,37455.51,31730.39
000059,*ST华锦,879008.31,56206.73,69.23,986052.19,1518023,154939.59,1623549.25,635281.5,444975,24893.07,1702948,1449070.88
000060,中金岭南,736788.31,52341.6,48.96,415422.72,451255.66,334500.59,526099.38,147467.63,204534.91,27411.6,671465.69,602232.13
000061,农 产 品,484906.84,130410.25,58.14,232305.72,364479.94,304334.69,577647.25,260958.8,283.45,7674.36,86697.97,42124.4
000062,深圳华强,254065.72,6964.36,36.93,144263.52,38896.3,19468.6,86498.03,68.14,49504.1,2984.85,58910.26,30729.36
000063,中兴通讯,3432547.25,183020,68.04,8817713,712322.19,138187.7,6370621,881222.69,2161815.25,2638126.5,4589879,3042674.75
000065,北方国际,179057.45,20162.35,67.08,512061.44,13672.95,61726.98,403690.69,91439.47,37933.78,98957.6,130843.55,116912.36
000066,长城电脑,248005.92,574739.38,78.43,2914864.75,334270.97,96927.59,2563307,62200.51,1037616.38,1079819.38,3267680.25,2994377
000068,*ST华赛,58553.36,2443.92,4.25,33784.3,20068.76,4159.33,2650.99,119427.15,382.82,6426.52,1699.4,1372.67
000069,华侨城Ａ,2894626.75,387111.13,66.05,6716093.5,1529803.75,455081.91,3709453.5,61811.61,4927558.5,53318.82,1016133.31,489090.16
000070,特发信息,109971,20153.84,52.69,180341.36,46928.05,12131.41,127569.02,60129.26,60444.85,84137.1,114166.57,95185.96
000078,海王生物,167332.45,38885.48,81.93,963948.81,65510.88,27481.97,928550,159374.75,109561.27,495654.59,539596.75,466288.56
000088,盐 田 港,518210.84,0,29.21,162334.38,15724.6,19203.13,24259.5,71086.15,0,2533.65,12082.17,5802.93
000089,深圳机场,992125,2406.13,20.88,255175.34,781287.69,24441.05,247730.42,280275.28,524.55,57052.96,147671.47,106623.46
000090,天健集团,398048.53,1002.27,63.5,808862.5,15918.9,10806.17,626086.25,75115.02,504639.31,40286.37,273820.25,215220.34
000096,广聚能源,203758.38,1952.1,12.3,138495.2,8362.58,12762.32,26238.77,35111.43,2756.82,320.48,53228.18,46395.7
000099,中信海直,273086.38,3116.18,39,122773.1,278370.19,1522.22,59839.55,103327.21,34667.35,55597.21,56423.13,38727.26
000100,TCL 集团,2449163,1102410.38,68.38,6474778,2180807.75,238886.52,5418512,527703.31,1068021.38,1498157.13,4668383.5,3830756.5
000150,宜华健康,163784.3,98.45,57.66,306331.56,5843.93,724.4,155881.45,98907.35,242487.38,20800.1,42164.1,31393.06
000151,中成股份,94400.61,682,65.79,255443.3,3436.16,1775.09,182401.88,44202.65,10214.21,10929.75,52292.55,40183.44
000153,丰原药业,114434.32,3439.86,47.13,88645.43,59356.63,15880.92,94579.13,49104.12,24890.35,42003.84,77932.06,57271.55
000155,*ST川化,-93253.55,-6772.78,179.82,40220.53,46122.09,2812.08,205100.56,81028.56,5150.73,3048.59,14964.04,13885.15
000156,华数传媒,895473.31,871.99,26.12,778128.25,219494.16,22276.72,200371.02,620240.19,4613.06,56037.92,127224.88,69206.95
000157,中联重科,4013324.5,86658.36,59.32,8076355,752279.56,460037.31,3600311.25,1315250.13,1340411.75,3157896,1057135,804226.19
000158,常山股份,461329.06,404.26,47.27,415164.78,109237.4,24666.21,399678.78,284009.72,168933.16,112108.52,456354.5,440757.31
000159,国际实业,217141.97,1795.48,28.7,204351.11,22706.89,10099.42,70882.27,37429.85,78910.5,12388.92,30738.24,26667.6
000166,申万宏源,4619045.5,145949.22,89.05,0,127589.01,10717.85,0,445380.91,0,0,1705345.38,0
000301,东方市场,321395.69,399.26,21.88,119040.22,25029.92,54837.28,27647.91,63657.83,54100.76,4866.02,32515.71,17918.65
000333,美的集团,4615474,629468.38,63.01,10760985,1885746.75,326536.81,8862488,1531173.88,1020985.31,1361707.5,8250914.5,5987890.5
000338,潍柴动力,3194221.75,959272.5,63.94,5972600,2269849,1264672.5,4335765,20990.01,1316051.13,1039571,3645526,2802894.5
000400,许继电气,574573,58264.63,40.03,925165.63,98529.74,7294,352646.84,82976.38,206626,589302.44,218013.5,167373.45
000401,冀东水泥,1240854.38,146484.48,69.72,1167638.5,2467897.25,281620,2179351.25,491189.09,195440.44,228591.66,511223.09,454083.16
000402,金 融 街,2431523,407575.19,69.03,7042224,283033.84,79940.02,2685339.75,710336,5349915.5,86374.21,491904.44,356393.63
000403,ST生化,47637.76,3181.5,58.85,39116.69,60286.48,6844.06,61395.8,11393.05,25872.59,166.08,25527.23,11032.57
000404,华意压缩,214337.41,67997.32,60.76,540285.13,123593.02,15106.87,426658.31,110347.86,60819.63,158953.02,373763.44,314887.13
000407,胜利股份,178244.27,29194.5,54.05,211158.59,46795.25,19128.45,208460.94,49380.09,52540.48,50122.78,149081.09,132721.06
000408,金谷源,13144.51,332.18,74.19,42464.87,2081.08,660.77,34593.09,14367.8,0,5367.37,10676.28,10476.28
000409,山东地矿,98488,23831.76,66.22,60148.01,75827.31,130717.02,163972.36,46365.14,4401.9,5331.33,14487.87,11454.92
000410,沈阳机床,242735.63,5368.43,88.32,1781659.63,185015.72,89638.68,1263900.38,124626.11,617845.38,815858.13,311287.13,241352.59
000411,英特集团,64428.46,79762.88,76.7,561919.31,27280.05,8682.17,472299.06,3631.68,144050.67,293222.31,759385.63,720289.25
000413,东旭光电,660716.69,26590.31,56.59,1029655.88,272944.34,28299.05,413763.41,292343.16,126863.81,111839.26,144660.02,80597.02
000415,渤海租赁,1028853.5,296730.81,85.39,1605311.25,3850166.75,66268.6,2687780.25,391942.31,243.3,102961.1,446990.19,227529.3
000416,民生控股,87292.96,1478.31,13.09,70877.36,4631.62,95.35,13308.15,1330.87,0,1063.35,3793.63,19.91
000417,合肥百货,329037.59,47322.43,50.8,443928.94,105195.9,98110.46,358524.56,30882.34,85028.47,6677.67,521152.25,425032.19
000418,小天鹅Ａ,458088.16,78499.31,52.22,968267.81,102603.92,20014.1,584881.38,114680.76,45823.44,84470.4,610190.38,445754.16
000419,通程控股,187876.05,0,48.4,182407.7,110281.13,31371,157611.56,41739.53,30693.19,1396.81,217762.3,176311.45
000420,吉林化纤,99330,258.73,58.54,99623.43,87304.56,12103.46,124840.7,97236.21,17671.21,9339.82,47502.1,40251.45
000421,南京中北,217280.95,102427.95,43.8,191266.59,257140.7,12771.28,230710.34,40502.19,62553.66,19340.28,186879.34,162982.27
000422,湖北宜化,673748.13,143802.77,78.79,1268869.25,1855824.38,64394.36,2103009.25,179477.22,427234.06,55900.3,865136.38,712341.69
000423,东阿阿胶,669616.75,9304.21,14.93,592130.56,129793.85,22448.98,112650.57,71411.25,157706.47,39006.28,254725.8,88666.96
000425,徐工机械,2122433.5,28132.66,55.61,3661961.5,741949.38,192584.84,2054428,890519.19,688129.06,2259289.25,949095.13,759576.81
000426,兴业矿业,275341.03,237.53,28.08,46721.82,137391.86,147094.22,76561.05,143627.38,27025.55,7808.22,49995.73,36698.51
000428,华天酒店,158592.92,25734.1,79.78,314377.13,353235,49403.46,439161.59,11671.78,231543.45,9518.26,51998.8,23475.39
000429,粤高速Ａ,523524.25,88122.49,50.67,70778.03,690855.63,431.21,74237.11,153477.13,0,7209.27,72439.28,36069.87
000430,张家界,54061.46,601.59,28.19,10594.38,46791.9,7655.41,11892.5,9469.1,528.12,135.71,24271.35,13334.99
000488,晨鸣纸业,1393865.38,40805.01,77.5,2563933.75,2469841.5,147888.56,3494051.25,614913.81,525160.94,395072.5,971869.81,737038.44
000498,山东路桥,277136.22,223.16,71.44,866188.69,39556.15,2900.24,657100,-55661.3,344101.38,285580.28,236229.97,198408.13
000501,鄂武商Ａ,380943.09,217.16,76.4,503840.06,718456.94,283214.88,1197931.75,67141.53,75241.96,1155.5,898892.63,709047.75
000502,绿景控股,19847.09,0,32.99,27005.53,2527.08,0,7596.3,2282.03,15866.15,223.53,1248.04,728.98
000503,海虹控股,128816.47,968.95,4.59,105039.3,10659.57,8662.82,6018.43,2317.08,57.8,472.16,8592.94,3945.15
000504,南华生物,-264.45,223.71,100.44,2404.15,4972.93,1708.74,9141.48,8512.57,13.1,793.12,596.21,542.12
000505,珠江控股,-8807.05,63.91,105.51,99107.78,42577.96,3007.66,122097.4,33469.07,43960.53,1416.87,13611.77,10073.73
000506,中润资源,140526.63,10276.44,60.98,303595.31,31361.34,32978.78,210847.3,3111.7,151496.27,2327.09,29281.7,19067.07
000507,珠海港,248569.34,19844,51.55,113922.45,182200.48,24096.88,117940.97,76403.46,5714,37273.98,99366.74,79788.21
000509,华塑控股,2187.48,-3108.56,101.66,33032,12409.91,8.08,55483.55,16357.37,15626.77,6327.22,7723.18,6718.4
000510,*ST金路,66399.15,5463.91,54.09,35374.7,106979.52,6976.91,78485.88,4521.18,14736.48,2854.56,79886.7,78178.9
000511,烯碳新材,143761.7,0,59.63,264029.03,264.35,10.75,192353.86,8509.15,142478.94,10333.38,59143.1,58628.38
000513,丽珠集团,423820.31,39514.92,41.64,363950.78,293179.78,26191.77,321159.22,43401.05,95996.8,123846.2,311540.38,120960.47
000514,渝 开 发,275890.31,53584.78,57.34,535427.25,153058.02,41081.9,277698.41,118617.51,364237.53,5389.33,31926.08,29579.38
000516,国际医学,322446.41,665.92,35.24,259177.91,147552.36,26800.85,164735.13,144866.3,4000.15,4481.75,203407.06,163021.36
000517,荣安地产,358572.41,0,45.34,582400.94,617,119.04,186709.02,21894.96,503525.09,2442.55,28465.55,17755.67
000518,四环生物,68516.43,0,19.19,39677.55,23496.53,9829.67,11907.32,2531.88,16428.5,10082.71,10869.9,4009.4
000519,江南红箭,408183.22,492.03,17.33,239883.8,150165.92,17001.89,78400,131656.69,129606.61,56437.2,79534.74,50236.67
000520,长航凤凰,24294.24,0,59.26,45803,11391.7,0,28212.21,195886.7,1882.98,18395.57,39624.62,34404.18
000521,美菱电器,352695.31,2398.99,66.08,827131.19,125095.45,57080.31,635541.56,145900.09,154757.48,199330.88,642691.75,508424.5
000523,广州浪奇,107077.77,692.77,66.76,238214.2,44396.95,5611,211632.27,44417.73,61878.96,90243,308635.03,296271.66
000524,岭南控股,61472.51,0,27.15,10882.17,34846.28,3149.09,7298,20164.96,533.9,2107.71,14597.42,5792.87
000525,红 太 阳,389970.72,323.75,52.67,347880.19,259125.84,35297.44,422734.75,197916.7,134031.36,78962.93,331235.53,288578.84
000526,银润投资,15857.1,125.96,20.39,1553.54,8100.97,0,4060.43,5808.39,0,955.67,1253.25,451.93
000528,柳    工,897417.5,293.45,54.33,1332249.38,247018.45,67874.46,688711.19,352070.84,316773.84,352641.59,368998,276659.31
000529,广弘控股,110601.02,1121.55,31.32,105428.15,17595.84,11692.76,50665.32,57475,17800.35,3466.03,104945.32,92541.3
000530,大冷股份,289176.34,8808.42,27.71,139884.81,39917.98,15190.2,94151.38,63344.8,29245.59,56671,71174.03,56234.73
000531,穗恒运Ａ,334524.84,29283.39,52.41,227261.84,305551.44,8257.15,245965.2,89953.59,59770.19,22037.17,116383.75,77291.67
000532,力合股份,69236.15,21042.06,23.05,47798.73,16914.23,12820.28,20296.6,2717.67,8413.71,5443.16,7832.38,4457.71
000533,万 家 乐,134375.31,0,65.11,286727.69,18243.76,44113.4,144441.41,5828.1,52017.6,113834.22,182257.34,122940.22
000534,万泽股份,127630.6,35594.09,56.41,338468.41,29225.6,114.6,170357.23,34207.12,251193.3,13379.9,27128.52,10974.7
000536,华映科技,280862.91,125932.4,59.93,633725.44,198768.67,8120.17,577162.63,81311.74,28030.41,181345.55,279505.78,249463.2
000537,广宇发展,189862.13,75529.96,47.84,460979.19,126.55,0,236034.88,8667.42,377486.13,0.51,67310.05,29768.55
000538,云南白药,1243553.63,10665.37,29.08,1535739.38,161443.86,24448,405065.56,124721.57,509671.69,99436.92,954257.5,662219.94
000539,粤电力Ａ,2235025.75,619025.63,60.64,1289255.75,3772924.75,157782.72,1676793.5,499843.31,157123.75,267180.72,1291155.38,918172.19
000540,中天城投,842788.63,33247.19,79.74,3791628.75,341914.34,15270.86,2574612.75,68413.5,3038327.75,80647.63,804400.81,531831.13
000541,佛山照明,432539.69,4617.1,17.74,228753.63,40453.28,18404.01,65556.53,29632.35,60481.76,43255.44,152436.27,116604.35
000543,皖能电力,979916.38,367623.19,43.02,312005.28,1348497.38,56224.67,471380.81,253236.84,22876.6,103254.53,585399.5,434807.09
000544,中原环保,91495.45,1655.82,60.11,61708.66,65597.46,88200.85,106111.52,47222.62,349.45,40924.28,31790.38,21414.67
000545,金浦钛业,168904.98,0,29.52,122257.76,54183.51,5113.52,58569.01,41460.78,9470.99,5742.68,40084.65,33601.71
000546,金圆股份,163923.61,7840.6,57.86,59568.08,296944.34,14192.54,189312.55,61758.38,26451.35,4990.51,53002.61,46559.85
000547,航天发展,237895.66,16761.92,39.36,328291.41,18404.78,9315.76,109467.77,50315.6,60475,35909.53,31230.76,19772.06
000548,湖南投资,146777.59,2043.85,26.28,133144.56,24544.38,32717.08,53008.63,47826.8,49874.82,2025.23,8438.25,3463.51
000550,江铃汽车,1084264.38,0,44.57,1251594.75,443645,63004.25,844178,83944.25,158247.13,84853.25,1198932.75,900981.63
000551,创元科技,130729.75,41564.21,46.76,178787.94,92070.43,16566.6,136640.98,30848.05,65473.05,56657.75,111217.65,84229.27
000552,靖远煤电,614578,54.65,28.61,376766.03,68965.03,165437.81,245237.7,286982.75,61234.03,58331.1,115565.82,84345.28
000553,沙隆达Ａ,207111.56,-26.95,35.94,122829.76,174745.19,13778.34,67648.55,26318.4,34363.95,36584.23,123525.17,94176.75
000554,泰山石油,91629.6,586.48,11.6,12738.46,38593.9,34176.43,10902.9,18976.32,8985.95,1499.89,152830.45,142491.95
000555,神州信息,301487.16,931,56.65,547518,15784.55,3105.79,366123,157632.88,82300.68,276469.88,287034.31,230085.45
000557,*ST广夏,14065.97,49.83,48.51,24440.85,1843.7,0,13297.57,101737.15,2185.33,83.35,491.05,236.24
000558,莱茵体育,160152.38,11289.12,60.47,368701.69,26677.64,2.11,202007.38,49979.03,288995.06,1814.43,118073.86,102530.21
000559,万向钱潮,385517.16,38309.15,59.15,631373.13,273494,18030.45,449652.16,30079.76,169076.59,188360.34,529850.31,418381.81
000560,昆百大Ａ,355272.31,3102.2,39.19,358241.81,58739.13,513.96,183371.41,225959.88,143742.91,5283.85,74931.81,51789.05
000561,烽火电子,94843.06,8875.21,44.42,158595.27,13983.77,6277.1,76154.06,4866.97,60659.28,64031.88,33573.14,19707.32
000563,陕国投Ａ,436770.16,0,24.42,0,5872.45,141.88,0,145323.56,0,0,71933.71,0
000564,西安民生,173909.55,0,77.24,413818.5,170426.67,13727.45,511185.25,80082.43,16323.25,1675.74,210327.41,158502.19
000565,渝三峡Ａ,77759.36,0,27.34,57480.4,23338.24,2309.13,26794.58,18567.84,10783.71,18963.67,23794.88,16875.63
000566,海南海药,219873.22,12970.9,48.04,167511.25,65993.65,22153.05,138817.59,112749.57,35368.9,36586.95,81186.65,48560.55
000567,海德股份,20940.95,0,4.17,9092.42,491.01,0,911.42,11672.82,2168.11,0,937.35,901.15
000568,泸州老窖,992285.81,8037.72,26.39,978451.38,101798.56,24739.09,344156.25,65207.85,289239.88,1169.06,369612.53,174929.75
000570,苏常柴Ａ,212120.41,1686.29,37,183869.31,56947.06,10338.11,111231.95,16432.85,41018.26,58491.32,135989.59,117907.31
000571,新大洲Ａ,222310.3,69441.5,40.32,123701.17,61871.9,30220.25,151762.94,64534.85,21714.24,22157.85,40751.4,26693.8
000572,海马汽车,740549.31,243910.97,34.94,616601.81,324194.84,163222.05,512922.44,378793.38,149423.19,5212.68,600483.63,495854.44
000573,粤宏远Ａ,157156.92,360.32,51,205155.11,8696.95,17166.88,125472.57,55487.35,151904.86,5876.31,20059.96,14085.42
000576,广东甘化,99588.31,0,35.92,41916.39,61201.67,8942.3,31638.02,84164.21,9463.49,8173.77,19371.64,17913.26
000581,威孚高科,1162057,43259.2,22,869496.63,136519.06,35682.62,287125.69,363568.44,95844.4,154681.72,339043.78,264363.91
000582,北部湾港,570276.06,0,52.6,265798.91,708781.31,141317.81,301989.66,267984.22,10754.38,53957.76,153481.66,98484.86
000584,友利控股,195027.56,16005.8,33.81,205334.13,102501.96,3826.18,98776.56,67523.72,92292.81,8471.82,66771.59,48398.85
000585,东北电气,28458.95,42.66,42.14,31379.65,5915.02,413.23,14688.07,88342.24,4676.4,13662.47,6544.77,4753.5
000586,汇源通信,21289.48,0,54.2,37829.96,3529.78,2050.87,21448.6,6064.65,6943.6,17070.56,16891.46,14129.22
000587,金叶珠宝,137704.25,9848.25,55.9,326879.09,6689.72,430.43,186896.61,39732.39,103545.84,46392.06,475112.91,450571.09
000589,黔轮胎Ａ,383858.91,-113.25,66,674364.81,295759.63,32492,623755.94,183544.38,128220.86,159779.66,214202.7,154401.73
000590,*ST古汉,19651.02,0,65.87,23991.18,14096.57,15554.29,29427.66,15244.75,3603.3,753.82,16024.67,7102.47
000591,桐 君 阁,41600.85,6919.02,85.22,228770,45105.59,15196.15,269116.56,3442.65,66487.43,62507.07,253906.97,212955.42
000592,平潭发展,116911.11,28349.98,39.43,189664.02,23286.51,2944.18,89937.46,54656.28,109346.13,25483.75,50459.59,41476.62
000593,大通燃气,66008.8,0,11.58,22940.15,35281.9,1568.3,8605.88,27011.4,5173.65,495.9,20484.09,14555.98
000595,宝塔实业,83809.31,0,36.11,90518.88,22577.63,13356.45,41163.8,80877.67,22563.85,34218.3,13225.25,13002.85
000596,古井贡酒,451625.75,0,35.8,448316.66,172305.31,30191,245483.3,129493.85,124785.52,577.1,271304.28,82757.85
000597,东北制药,257855.92,9917,69.34,414121.38,171653.48,73417.28,459017.81,176992.19,94716.4,98598.93,211676.97,150781.55
000598,兴蓉环境,781554.19,4193.23,38.13,246095.63,542901.13,244040.55,276471.31,177915.56,18355.7,49433.23,149394.09,83698.21
000599,青岛双星,251517.34,3390.58,54.11,320736.69,129803.95,26620.09,296458.78,119546.46,84446.61,81823.63,151878.02,128630.4
000600,建投能源,963535.88,177904.13,53.71,315335.75,1419078,61676.11,501380.91,440559,18738.17,101880.61,482160.81,277597.03
000601,韶能股份,380716.13,23564.4,52.72,120428.15,692431.5,16620.22,131456.25,158531.81,27375.94,36224.34,147818.69,103139.65
000603,盛达矿业,83374.61,10947.95,32.28,80520.71,13096.4,11340.87,43609.25,0,2708.8,0,41971.46,8113.53
000605,渤海股份,96955.67,12835.55,53.21,36870.01,112417.86,19599.85,61174.76,49125.06,3479.45,11385.71,33110.2,25709.48
000606,青海明胶,78270.38,7924.18,32.54,39404.73,49683.15,3730.26,21653.78,38605.14,12532.03,6818.74,14986.77,15390.62
000607,华媒控股,133306.77,11318.45,31.42,136019.97,22881.73,3624.11,65407.88,-23476.27,3972.7,49715.67,65611.81,47168.87
000608,阳光股份,327765.41,78763.4,61.2,430307.91,3258,5206.5,337382.69,51115.2,315000.41,3030.4,34324.2,11425.2
000609,绵世股份,127699.21,366.61,34.62,167793.31,3929.51,88.66,62508.4,1206,49022.9,5.34,2778.01,2131.38
000610,西安旅游,76719.49,2529.95,23.78,61289.55,22825.63,5806.39,23822.61,39470.65,6103.21,4843.89,30746.01,28679.8
000611,*ST蒙发,52164.34,0,24.55,47687.64,4185.85,4708.89,16973.8,13855.42,629.46,23525.74,1537.62,1602.15
000612,焦作万方,487546.41,0,46.6,114864.4,309105.72,172369.36,207563,160308.55,39872.3,2289.08,243175.63,225883.52
000613,大东海A,8102.32,0,26.29,2451.15,5412.3,2678.57,2889.68,5414.27,30.87,45.67,842.12,27.12
000615,湖北金环,75300.2,0,39.01,36237.98,33169.23,12995.03,44808.46,8866.91,11404.24,5036.28,33649.51,28597.19
000616,海航投资,430343.59,2164.11,48.77,760934,14239.9,29647.15,340745.22,20155.42,600716.81,3624.25,29949.01,23098.28
000617,石油济柴,60579.07,0,73.02,149620.66,55079.3,12873.61,150993.27,3812.12,41977.32,102285.27,60982.21,51593.44
000619,海螺型材,237430.88,26235.75,37.38,229937.16,165767.2,24320.42,68083.25,43699.9,54606.38,14609.3,162902.2,138507.19
000620,新华联,562470.63,52750.8,78.69,2220658.5,104264.93,21141.8,1164184.5,205127.84,1784855.25,29334.61,92381.49,64617.51
000622,恒立实业,18512.55,2037.49,40.39,20699.84,4237.12,6431.21,7835.43,18291.42,2350.9,2989.07,2699.4,2528.45
000623,吉林敖东,1718108.63,21631.99,8.54,288775.56,159684.16,26326.1,96865.86,403496.13,46050.75,54375.25,113864.5,40998.84
000625,长安汽车,2950455.5,-20941.71,63.33,4433492.5,1384675.13,296687.03,4422990,322748.94,753750,75411.57,3305295.5,2724993.5
000626,如意集团,84847.86,100470.81,85.94,1263993,6717.55,4658.16,1067042.25,3265.54,349925.38,47595.65,2529645.5,2491028.75
000627,天茂集团,141138.23,4182.91,31.9,42443.8,43633.35,49859.12,58002.11,3015.37,14430.05,4861.45,29486.05,28511.14
000628,高新发展,64154,-1190.33,84.5,340169.84,13683.15,6738.05,320765.28,73173.15,68618.38,41178.98,66384.21,56743.94
000629,攀钢钒钛,1001907.63,142249.84,79.6,996632.63,867994.81,743594.25,1997321.63,557194.38,160899.38,82517.46,616180.69,500236.31
000630,铜陵有色,1499280.38,85512.93,69.13,2979268.5,1482344.63,165052.38,2753868,454855.69,899514.38,158847.36,4611033,4453295.5
000631,顺发恒业,363920.88,0,70.14,1064241.5,1380.89,29.37,636106.06,21622.92,924661.88,801.6,199402.67,145896.47
000632,三木集团,126127.42,20729.32,81.81,549472.81,28856.45,0,478576.84,273.17,131234.06,70637.22,169836.84,155994.38
