Ёи╫╩й╠╪Д	Ёи╫╩╪ш	╪ш╦Я╠Д╤╞	Ёи╫╩а©(йж)	Ёи╫╩╤Н(т╙)	птжй
14:53:06	8.58	--	66	56628	бРел
14:52:56	8.58	-0.01	93	79794	бТел
14:52:51	8.59	0.01	6	5154	бРел
14:52:46	8.58	--	22	18876	бТел
14:52:41	8.58	--	12	10296	бТел
14:52:36	8.58	--	193	165594	бРел
14:52:31	8.58	--	28	24024	бТел
14:52:21	8.58	-0.01	1	858	бТел
14:52:16	8.59	0.02	9	7731	бРел
14:52:11	8.57	-0.02	1	857	бТел
14:52:06	8.59	--	51	43809	бРел
14:52:01	8.59	-0.01	1	859	жпптел
14:51:51	8.6	--	16	13760	бРел
14:51:41	8.6	0.02	540	464400	бРел
14:51:31	8.58	-0.02	1	858	жпптел
14:51:26	8.6	0.02	172	147920	бРел
14:51:21	8.58	--	5	4290	бРел
14:51:16	8.58	--	12	10296	бРел
14:51:11	8.58	-0.02	10	8580	бТел
14:51:06	8.6	--	2	1720	бРел
14:50:56	8.6	0.01	114	98040	бРел
14:50:51	8.59	-0.01	28	24052	бТел
14:50:46	8.6	--	77	66220	бРел
14:50:41	8.6	--	5	4300	бРел
14:50:36	8.6	--	1	860	бРел
14:50:31	8.6	-0.01	27	23220	бТел
14:50:26	8.61	--	93	80658	бТел
14:50:21	8.61	--	58	50213	бТел
14:50:16	8.61	-0.01	31	26691	бТел
14:50:10	8.62	0.01	108	93095	бРел
14:50:05	8.61	--	107	92127	бТел
14:50:00	8.61	--	29	24969	бТел
14:49:55	8.61	-0.01	197	169617	жпптел
14:49:50	8.62	0.01	182	156884	бРел
14:49:45	8.61	0.01	85	73185	бРел
14:49:40	8.6	--	35	30100	бТел
14:49:35	8.6	--	45	38700	бТел
14:49:30	8.6	-0.01	109	93740	бТел
14:49:25	8.61	0.02	108	92988	бРел
14:49:20	8.59	--	54	46386	бТел
14:49:15	8.59	-0.02	17	14603	бТел
14:49:10	8.61	0.02	55	47355	бРел
14:49:05	8.59	--	40	34360	бТел
14:49:00	8.59	--	32	27488	бТел
14:48:55	8.59	--	29	24911	бРел
14:48:50	8.59	-0.01	134	115106	бТел
14:48:45	8.6	--	113	97180	жпптел
14:48:40	8.6	-0.04	22	18920	жпптел
14:48:30	8.64	0.04	368	317952	бРел
14:48:30	8.6	-0.03	92	79120	бТел
14:48:25	8.63	--	66	56958	бТел
14:48:20	8.63	0.01	92	79396	бРел
14:48:15	8.62	--	230	198259	бТел
14:48:10	8.62	0.01	55	47409	бРел
14:48:05	8.61	-0.04	197	169617	бТел
14:48:00	8.65	0.02	303	262095	бРел
14:47:55	8.63	--	55	47465	бТел
14:47:50	8.63	0.02	295	254585	бРел
14:47:45	8.61	--	72	61991	бТел
14:47:40	8.61	-0.01	66	56825	бТел
14:47:30	8.62	--	5	4310	бТел
14:47:30	8.62	0.02	134	115507	бРел
14:47:20	8.6	--	54	46440	бТел
14:47:20	8.6	0.02	360	309600	бРел
14:47:15	8.58	-0.01	47	40326	бТел
14:47:10	8.59	--	50	42950	бРел
14:47:05	8.59	0.03	60	51540	бРел
14:47:00	8.56	--	12	10272	бТел
14:46:55	8.56	--	5	4280	жпптел
14:46:50	8.56	0.04	484	414304	бРел
14:46:45	8.52	0.01	47	40044	бРел
14:46:40	8.51	--	5	4255	бТел
14:46:35	8.51	0.05	1662	1414362	бРел
14:46:30	8.46	--	218	184428	бТел
14:46:24	8.46	--	10	8460	бТел
14:46:14	8.46	--	20	16920	бТел
14:46:14	8.46	--	20	16920	бТел
14:46:09	8.46	0.05	487	412002	бРел
14:46:04	8.41	--	20	16820	бТел
14:45:59	8.41	-0.01	330	277530	бТел
14:45:54	8.42	--	3	2526	бРел
14:45:49	8.42	0.01	46	38732	бРел
14:45:44	8.41	0.01	109	91669	бТел
14:45:34	8.4	-0.01	63	52920	бТел
14:45:34	8.41	--	77	64757	бРел
14:45:29	8.41	0.01	73	61393	бРел
14:45:19	8.4	--	107	89880	бТел
14:45:14	8.4	--	30	25200	бТел
14:45:09	8.4	0.02	447	375480	бРел
14:44:49	8.38	-0.01	52	43576	бТел
14:44:44	8.39	--	6	5034	бРел
14:44:39	8.39	0.01	28	23492	бРел
14:44:34	8.38	-0.01	6	5028	бТел
14:43:59	8.39	--	2	1678	бТел
14:43:54	8.39	0.01	14	11746	жпптел
14:43:44	8.38	--	20	16760	бТел
14:43:39	8.38	--	20	16760	бТел
14:43:19	8.38	--	24	20112	бТел
14:43:14	8.38	-0.02	70	58660	бТел
14:43:09	8.4	--	95	79800	бРел
14:42:54	8.4	0.02	20	16800	бРел
14:42:49	8.38	-0.01	2	1676	бТел
14:42:44	8.39	-0.01	17	14263	бТел
14:42:33	8.4	0.02	10	8400	бРел
14:42:23	8.38	-0.02	64	53632	бТел
14:42:18	8.4	0.01	32	26880	бРел
14:42:13	8.39	0.01	20	16780	бРел
14:42:03	8.38	--	2	1676	бТел
14:41:48	8.38	--	18	15084	бРел
14:41:43	8.38	--	30	25140	бРел
14:41:38	8.38	0.01	283	237154	бРел
14:41:33	8.37	-0.01	1	836	бТел
14:41:28	8.38	--	49	41062	бРел
14:41:18	8.38	--	18	15084	бТел
14:41:13	8.38	--	80	67040	бТел
14:40:58	8.38	-0.02	33	27654	жпптел
14:40:48	8.4	0.04	9	7560	бРел
14:40:28	8.36	--	15	12540	бРел
14:40:23	8.36	-0.05	45	37620	бТел
14:40:13	8.41	--	17	14297	бТел
14:40:08	8.41	0.05	195	163995	бРел
14:40:03	8.36	-0.03	5	4180	бТел
14:39:53	8.39	-0.01	10	8390	бТел
14:39:43	8.4	--	1	840	бРел
14:39:38	8.4	--	30	25200	бРел
14:39:33	8.4	-0.01	27	22680	бТел
14:39:18	8.41	-0.02	24	20184	бТел
14:39:08	8.43	0.01	5	4215	бРел
14:39:03	8.42	-0.01	2	1684	бТел
14:38:58	8.43	--	159	134037	бТел
14:38:53	8.43	--	55	46365	бТел
14:38:42	8.43	--	93	78399	бТел
14:38:42	8.43	-0.01	12	10116	бТел
14:38:27	8.44	-0.01	3	2532	бРел
14:38:22	8.45	--	14	11829	бТел
14:38:17	8.45	0.01	393	332085	бРел
14:38:12	8.44	--	68	57392	бТел
14:38:02	8.44	--	103	86932	бТел
14:37:57	8.44	--	57	48108	бРел
14:37:52	8.44	0.01	5	4220	бРел
14:37:47	8.43	--	29	24447	бТел
14:37:37	8.43	-0.01	5	4215	бТел
14:37:37	8.44	0.02	27	22788	бРел
14:37:32	8.42	-0.01	4	3368	бТел
14:37:27	8.43	0.02	20	16860	бРел
14:37:22	8.41	-0.01	30	25230	бТел
14:37:17	8.42	0.01	40	33680	бРел
14:37:07	8.41	--	25	21193	бРел
14:37:02	8.41	--	25	21025	бРел
14:36:47	8.41	0.02	145	121945	бРел
14:36:42	8.39	-0.01	131	109909	бТел
14:36:37	8.4	--	16	13440	бРел
14:36:32	8.4	0.01	59	49560	бРел
14:36:27	8.39	-0.01	20	16780	бТел
14:36:22	8.4	--	9	7560	бРел
14:36:17	8.4	0.01	19	15960	бРел
14:36:07	8.39	--	138	115782	бРел
14:36:02	8.39	0.01	71	59569	бРел
14:35:57	8.38	0.03	41	34358	бРел
14:35:47	8.35	0.02	119	99365	бРел
14:35:37	8.33	-0.01	5	4165	жпптел
14:35:32	8.34	0.02	67	55878	бРел
14:35:27	8.32	0.01	6	4992	бРел
14:35:22	8.31	-0.01	16	13296	бТел
14:35:12	8.32	0.01	33	27456	бРел
14:35:07	8.31	0.03	205	170355	бРел
14:34:51	8.28	-0.02	20	16560	бТел
14:34:51	8.3	0.01	32	26560	бРел
14:34:46	8.29	-0.01	20	16580	жпптел
14:34:41	8.3	0.03	200	166000	бРел
14:34:31	8.27	--	110	90970	бРел
14:34:26	8.27	--	62	51274	бРел
14:34:16	8.27	--	11	9097	бРел
14:34:11	8.27	--	8	6616	бРел
14:34:01	8.27	--	8	6616	бРел
14:33:46	8.27	--	46	38042	бРел
14:33:26	8.27	0.01	105	86835	бРел
14:33:16	8.26	-0.01	1	826	бТел
14:33:06	8.27	0.01	41	33907	бРел
14:32:46	8.26	-0.02	412	340312	бТел
14:32:36	8.28	0.01	65	53819	бРел
14:32:31	8.27	--	27	22329	бТел
14:32:16	8.27	--	183	151349	бРел
14:32:11	8.27	0.01	2	1654	бРел
14:32:06	8.26	--	80	66080	бТел
14:31:56	8.26	--	2	1652	бТел
14:31:52	8.26	--	15	12390	бТел
14:31:42	8.26	-0.01	38	31388	бТел
14:31:02	8.27	--	22	19012	бТел
14:30:47	8.27	-0.01	146	120742	бТел
14:30:12	8.28	--	114	94391	бТел
14:29:57	8.28	-0.01	46	38088	бТел
14:29:21	8.29	--	8	6631	бТел
14:29:06	8.29	0.01	2	1657	жпптел
14:28:41	8.28	-0.02	10	8280	бТел
14:28:26	8.3	0.01	100	83000	бРел
14:28:06	8.29	-0.01	25	20724	бТел
14:27:56	8.3	--	5	4150	бРел
14:27:46	8.3	--	52	43160	бРел
14:27:41	8.3	--	8	6640	бРел
14:27:31	8.3	--	15	12450	бТел
14:27:16	8.3	--	3	2490	бТел
14:27:06	8.3	--	20	16600	бТел
14:26:56	8.3	-0.01	1	830	бТел
14:26:51	8.31	--	28	23268	бРел
14:26:46	8.31	0.01	2	1662	бРел
14:26:31	8.3	-0.01	9	7470	бТел
14:26:26	8.31	0.01	12	9972	бРел
14:25:56	8.3	--	18	14940	бТел
14:25:46	8.3	--	10	8300	бТел
14:25:39	8.3	0.03	104	86320	бРел
14:25:24	8.27	-0.02	100	82700	бТел
14:25:14	8.29	0.01	1	828	бРел
14:24:54	8.28	0.01	20	16560	бРел
14:24:49	8.27	0.01	203	167889	бРел
14:24:44	8.26	-0.01	11	9086	бТел
14:24:34	8.27	0.01	5	4135	бРел
14:24:24	8.26	--	17	14042	бРел
14:24:14	8.26	--	24	19824	бРел
14:24:09	8.26	--	41	33866	бРел
14:24:04	8.26	0.01	5	4130	бРел
14:23:54	8.25	0.02	102	84150	бРел
14:23:49	8.23	--	2	1646	бТел
14:23:39	8.23	--	22	18106	бРел
14:23:23	8.23	--	50	41150	бРел
14:23:18	8.23	0.02	10	8230	бРел
14:23:03	8.21	-0.02	15	12315	бТел
14:22:53	8.23	--	31	25513	бТел
14:22:48	8.23	--	31	25513	бТел
14:22:38	8.23	0.02	303	249369	бРел
14:22:33	8.21	--	25	20525	бТел
14:22:28	8.21	--	20	16420	бТел
14:22:18	8.21	--	3	2463	бТел
14:22:08	8.21	--	20	16420	бТел
14:21:58	8.21	--	34	27914	бТел
14:21:53	8.21	0.01	10	8210	бРел
14:21:43	8.2	--	10	8200	бТел
14:21:38	8.2	-0.01	80	65600	бТел
14:21:33	8.21	--	20	16420	бТел
14:21:28	8.21	--	84	68964	бТел
14:21:18	8.21	-0.01	20	16420	бТел
14:21:03	8.22	0.01	20	16440	бРел
14:20:58	8.21	--	10	8210	бТел
14:20:48	8.21	--	3	2463	бТел
14:20:43	8.21	--	15	12315	бТел
14:20:38	8.21	--	11	9031	бТел
14:20:28	8.21	--	8	6568	бТел
14:20:23	8.21	--	18	14778	бТел
14:20:18	8.21	--	12	9852	бТел
14:20:13	8.21	0.01	60	49260	бРел
14:20:08	8.2	--	11	9020	бТел
14:20:03	8.2	--	30	24599	бТел
14:19:48	8.2	-0.01	2	1639	бТел
14:19:43	8.21	0.01	20	16420	бРел
14:19:33	8.2	--	68	55759	бТел
14:19:28	8.2	--	10	8200	бТел
14:19:28	8.2	-0.02	3	2460	бТел
14:19:23	8.22	--	6	4932	бРел
14:19:12	8.22	--	503	413466	бРел
14:19:07	8.22	--	46	37812	бТел
14:19:02	8.22	-0.01	81	66582	бТел
14:18:47	8.23	0.01	10	8230	бРел
14:18:32	8.22	--	7	5754	бТел
14:18:32	8.22	-0.01	14	11508	бТел
14:18:22	8.23	--	10	8230	бРел
14:18:17	8.23	--	5	4115	бРел
14:18:12	8.23	0.01	35	28805	бРел
14:18:07	8.22	-0.01	40	32880	бТел
14:17:52	8.23	-0.01	440	362120	бТел
14:17:42	8.24	-0.02	19	15656	бТел
14:17:37	8.26	0.02	20	16520	бРел
14:17:32	8.24	-0.02	3	2472	бТел
14:17:27	8.26	0.01	7	5782	бРел
14:17:22	8.25	-0.01	18	14850	бТел
14:17:07	8.26	--	48	39648	бТел
14:17:02	8.26	--	10	8260	бТел
14:16:52	8.26	-0.01	5	4130	бТел
14:16:42	8.27	0.01	80	66160	бРел
14:16:37	8.26	0.01	62	51212	бРел
14:16:22	8.25	--	86	70950	бРел
14:16:07	8.25	0.02	23	18975	бРел
14:15:52	8.23	-0.02	15	12345	бТел
14:15:47	8.25	0.01	39	32175	бРел
14:15:41	8.24	0.01	6	4944	бТел
14:15:36	8.23	--	74	60902	бРел
14:15:31	8.23	0.01	7	5761	бРел
14:15:26	8.22	--	10	8220	бТел
14:15:21	8.22	--	55	45210	бРел
14:15:16	8.22	0.01	26	21372	бРел
14:15:06	8.21	-0.01	15	12315	бТел
14:14:56	8.22	0.01	14	11508	бРел
14:14:56	8.21	--	20	16420	бТел
14:14:51	8.21	--	11	9031	бТел
14:14:46	8.21	0.01	126	103454	бРел
14:14:41	8.2	--	68	55759	бРел
14:14:36	8.2	--	156	127919	бРел
14:14:31	8.2	--	20	16400	бРел
14:14:26	8.2	--	167	136940	бРел
14:14:21	8.2	--	2	1639	бРел
14:14:16	8.2	--	518	424759	бТел
14:14:11	8.2	--	478	391959	бТел
14:14:06	8.2	--	3	2460	бТел
14:14:01	8.2	--	40	32800	бТел
14:13:56	8.2	-0.01	18	14759	бТел
14:13:51	8.21	0.01	40	32840	бРел
14:13:46	8.2	--	19	15579	бТел
14:13:36	8.2	-0.01	146	119719	бТел
14:13:31	8.21	-0.01	3	2463	бТел
14:13:26	8.22	--	32	26304	бТел
14:13:21	8.22	-0.02	40	32880	бТел
14:13:16	8.24	0.01	280	230720	бРел
14:13:11	8.23	-0.01	36	29628	бТел
14:13:06	8.24	--	85	70040	бТел
14:13:01	8.24	-0.01	8	6592	бТел
14:12:56	8.25	0.01	5	4125	бРел
14:12:51	8.24	--	110	90640	бТел
14:12:46	8.24	-0.01	113	93112	бТел
14:12:31	8.25	--	106	87450	бТел
14:12:26	8.25	--	24	19800	бТел
14:12:21	8.25	-0.01	137	113025	бТел
14:12:16	8.26	0.01	5	4130	бРел
14:12:11	8.25	-0.01	10	8250	бТел
14:12:06	8.26	--	177	147019	бТел
14:12:01	8.26	-0.01	130	107380	бТел
14:11:55	8.27	0.01	3	2481	жпптел
14:11:50	8.26	-0.01	312	257712	бТел
14:11:40	8.27	--	5	4135	бТел
14:11:35	8.27	--	4	3308	бТел
14:11:30	8.27	--	30	24810	бТел
14:11:20	8.27	--	100	82700	бТел
14:11:15	8.27	--	1	827	бТел
14:10:55	8.27	-0.01	5	4135	бТел
14:10:45	8.28	0.01	9	7451	бРел
14:10:45	8.27	-0.01	20	16540	бТел
14:10:35	8.28	0.01	5	4140	жпптел
14:10:10	8.27	-0.03	200	165400	бТел
14:10:05	8.3	0.01	37	30710	бРел
14:09:45	8.29	--	10	8290	бТел
14:09:40	8.29	--	3	2486	бРел
14:09:25	8.29	--	4	3315	бТел
14:09:20	8.29	--	33	27356	бРел
14:09:05	8.29	--	100	82899	бРел
14:09:00	8.29	0.01	20	16580	бРел
14:08:50	8.28	-0.01	253	209483	бТел
14:08:35	8.29	--	25	20724	бТел
14:08:35	8.29	--	31	25698	бРел
14:08:30	8.29	--	69	57200	бТел
14:08:20	8.29	--	3	2486	бТел
14:07:49	8.29	0.01	3	2486	бРел
14:07:29	8.28	--	102	84464	бРел
14:07:19	8.28	--	33	27323	бРел
14:07:14	8.28	--	60	49679	бРел
14:07:04	8.28	--	3	2484	бРел
14:06:59	8.28	0.01	587	486035	бРел
14:06:44	8.27	--	20	16540	бТел
14:06:39	8.27	-0.01	5	4135	бТел
14:06:34	8.28	--	171	141588	бРел
14:06:24	8.28	-0.01	381	315468	бТел
14:06:04	8.29	-0.01	18	14921	бТел
14:05:59	8.3	0.01	6	4980	жпптел
14:05:49	8.29	-0.01	100	82899	бТел
14:05:44	8.3	--	9	7470	бРел
14:05:39	8.3	--	41	34030	бТел
14:05:19	8.3	--	3	2490	бТел
14:04:59	8.3	0.01	51	42330	бРел
14:04:54	8.29	--	3	2486	бТел
14:04:29	8.29	--	15	12434	бТел
14:04:24	8.29	0.01	10	8290	бТел
14:04:19	8.28	-0.01	5	4140	бТел
14:04:03	8.29	--	10	8290	бТел
14:03:58	8.29	-0.01	10	8290	бТел
14:03:48	8.3	0.01	3	2490	бРел
14:03:38	8.29	--	15	12434	бТел
14:03:08	8.29	--	8	6631	бРел
14:02:58	8.29	--	34	28185	бТел
14:02:53	8.29	-0.02	100	82899	бТел
14:02:38	8.31	0.02	1	831	жпптел
14:02:28	8.29	-0.03	45	37304	бТел
14:02:13	8.32	--	4	3328	бТел
14:02:08	8.32	-0.01	6	4992	бТел
14:01:48	8.33	-0.01	851	708883	бТел
14:01:33	8.34	--	19	15846	бТел
14:01:23	8.34	-0.01	7	5838	бТел
14:01:18	8.35	--	53	44255	бРел
14:01:03	8.35	--	3	2505	бТел
14:00:58	8.35	--	3	2505	бТел
14:00:53	8.35	--	30	25050	бТел
14:00:48	8.35	--	50	41750	бТел
14:00:38	8.35	--	17	14195	бТел
14:00:18	8.35	--	43	35905	бТел
14:00:07	8.35	--	20	16700	бТел
14:00:02	8.35	--	94	78490	бРел
13:59:47	8.35	0.02	50	41750	бРел
13:59:42	8.33	-0.02	9	7497	бТел
13:59:37	8.35	0.02	21	17535	бРел
13:59:32	8.33	--	6	4998	бТел
13:59:17	8.33	0.01	144	119952	бРел
13:59:07	8.32	--	19	15808	бРел
13:59:02	8.32	--	5	4160	бРел
13:58:37	8.32	--	2	1664	бРел
13:58:32	8.32	0.01	22	18304	бРел
13:58:12	8.31	--	62	51522	бРел
13:58:02	8.31	--	10	8310	бРел
13:57:52	8.31	0.01	10	8310	бРел
13:57:47	8.3	--	20	16600	бТел
13:57:42	8.3	--	45	37350	бТел
13:57:37	8.3	--	5	4150	бТел
13:57:27	8.3	--	41	34030	бРел
13:57:10	8.3	--	1	830	бРел
13:56:50	8.3	0.02	1	830	бРел
13:55:51	8.28	-0.02	10	8280	бТел
13:55:41	8.3	0.02	49	40670	бРел
13:55:21	8.28	--	13	10764	бТел
13:55:06	8.28	--	4	3311	бТел
13:55:01	8.28	--	5	4140	бТел
13:54:51	8.28	--	4	3311	бТел
13:54:31	8.28	--	162	134136	бРел
13:54:31	8.28	0.01	10	8280	бРел
13:54:26	8.27	-0.01	4	3308	бТел
13:54:21	8.28	--	6	4968	бРел
13:53:51	8.28	0.02	10	8280	бРел
13:53:41	8.26	-0.02	45	37170	бТел
13:53:36	8.28	0.01	1	827	бРел
13:53:31	8.27	-0.01	10	8270	бТел
13:53:16	8.28	--	6	4968	бРел
13:53:01	8.28	--	278	230183	бТел
13:52:46	8.28	--	5	4140	бТел
13:52:30	8.28	--	6	4968	бТел
13:52:25	8.28	--	14	11592	бРел
13:52:10	8.28	--	1	827	бРел
13:52:05	8.28	--	5	4140	бТел
13:52:00	8.28	--	45	37260	бРел
13:51:50	8.28	--	12	9936	бРел
13:51:40	8.28	--	55	45540	бТел
13:51:25	8.28	--	10	8280	бТел
13:50:49	8.28	-0.02	20	16560	бТел
13:50:44	8.3	0.01	50	41500	бРел
13:50:39	8.29	-0.01	1	828	бТел
13:50:24	8.3	--	50	41500	бТел
13:50:19	8.3	--	4	3320	бТел
13:50:14	8.3	-0.01	20	16600	бТел
13:50:04	8.31	0.01	5	4155	бРел
13:49:59	8.3	--	100	83000	бТел
13:49:54	8.3	--	10	8300	бТел
13:49:49	8.3	--	148	122840	бРел
13:49:44	8.3	--	30	24900	бРел
13:49:24	8.3	0.01	5	4150	бРел
13:49:14	8.29	--	8	6631	бРел
13:49:09	8.29	--	10	8290	бРел
13:49:04	8.29	--	10	8290	бРел
13:48:59	8.29	0.01	5	4145	бРел
13:48:49	8.28	--	10	8280	бТел
13:48:44	8.28	--	5	4140	бТел
13:48:09	8.28	0.02	91	75348	бРел
13:48:04	8.26	-0.01	12	9912	бТел
13:47:59	8.27	0.01	6	4962	бРел
13:47:49	8.26	--	25	20650	бТел
13:47:43	8.26	--	30	24780	бТел
13:47:33	8.26	--	14	11564	бТел
13:47:28	8.26	--	15	12390	бТел
13:47:23	8.26	--	7	5782	бТел
13:47:13	8.26	-0.01	250	206500	бТел
13:46:53	8.27	--	1	827	бТел
13:46:48	8.27	--	36	29772	бТел
13:46:33	8.27	-0.01	7	5789	бТел
13:46:19	8.28	-0.01	5	4140	жпптел
13:45:39	8.29	--	103	85386	бТел
13:45:34	8.29	--	40	33160	бТел
13:45:14	8.29	--	9	7460	бТел
13:45:04	8.29	-0.01	5	4145	бТел
13:44:59	8.3	0.01	20	16600	бРел
13:44:54	8.29	--	200	165799	бТел
13:44:38	8.29	-0.01	100	82899	бТел
13:44:33	8.3	0.01	1	830	бРел
13:44:28	8.29	-0.02	50	41449	бТел
13:44:23	8.31	0.01	14	11634	бРел
13:44:18	8.3	--	20	16600	бТел
13:44:08	8.3	--	4	3320	бТел
13:44:03	8.3	--	45	37350	бРел
13:43:48	8.3	0.01	5	4150	бРел
13:43:38	8.29	--	63	52226	бТел
13:43:28	8.29	-0.01	1	828	бРел
13:43:18	8.3	0.01	20	16600	бРел
13:43:18	8.29	-0.01	8	6631	жпптел
13:43:08	8.3	0.01	23	19090	бРел
13:43:03	8.29	-0.01	1	828	жпптел
13:42:38	8.3	0.03	29	24070	бРел
13:42:33	8.27	-0.03	26	21502	бТел
13:42:23	8.3	0.04	3	2490	бРел
13:42:08	8.26	-0.04	15	12390	бТел
13:41:53	8.3	--	6	4980	бТел
13:41:48	8.3	--	14	11620	бРел
13:41:43	8.3	0.02	5	4150	бРел
13:41:38	8.28	--	58	48023	бТел
13:41:13	8.28	--	1	827	бТел
13:41:03	8.28	-0.02	205	169740	бТел
13:40:42	8.3	0.02	2	1660	бРел
13:40:17	8.28	--	70	57959	бТел
13:40:07	8.28	0.01	327	270756	бРел
13:40:02	8.27	0.02	15	12405	бРел
13:39:57	8.25	--	5	4125	бТел
13:39:52	8.25	--	25	20625	бТел
13:39:47	8.25	--	121	99825	бТел
13:39:37	8.25	-0.01	66	54450	бТел
13:39:32	8.26	--	20	16520	бТел
13:39:22	8.26	-0.02	56	46256	бТел
13:39:17	8.28	--	16	13247	бРел
13:39:12	8.28	--	100	82800	бРел
13:38:57	8.28	-0.03	262	216935	бТел
13:38:57	8.31	-0.02	22	18282	бТел
13:38:32	8.33	--	160	133280	бТел
13:38:17	8.33	-0.02	100	83300	бТел
13:38:12	8.35	0.01	52	43420	бРел
13:37:57	8.34	-0.01	8	6672	бТел
13:37:42	8.35	--	47	39245	бТел
13:37:32	8.35	--	15	12525	бТел
13:37:27	8.35	--	41	34235	бТел
13:37:22	8.35	--	33	27555	бТел
13:37:07	8.35	-0.01	200	167000	бТел
13:37:02	8.36	--	255	213180	бТел
13:36:46	8.36	--	5	4180	бТел
13:36:26	8.36	-0.01	84	70224	бТел
13:35:56	8.37	--	85	71145	бТел
13:35:41	8.37	--	4	3347	бТел
13:35:31	8.37	--	6	5021	бРел
13:35:26	8.37	--	41	34317	бРел
13:35:16	8.37	0.01	30	25109	бРел
13:35:01	8.36	--	4	3344	бТел
13:34:56	8.36	0.01	5	4180	жпптел
13:33:41	8.35	--	61	50935	бРел
13:33:36	8.35	--	2	1670	бРел
13:33:31	8.35	--	30	25050	бРел
13:33:16	8.35	--	9	7515	бТел
13:33:06	8.35	-0.02	1	835	бТел
13:32:50	8.37	0.03	2	1673	жпптел
13:32:10	8.34	-0.05	17	14178	бТел
13:31:55	8.39	0.02	130	109070	бРел
13:31:45	8.37	0.03	23	19251	бРел
13:31:40	8.34	0.01	5	4170	жпптел
13:31:35	8.33	-0.01	20	16660	бТел
13:31:25	8.34	-0.01	10	8340	бТел
13:31:20	8.35	-0.02	100	83500	бТел
13:31:15	8.37	--	20	16740	бТел
13:31:05	8.37	--	26	21761	бТел
13:31:00	8.37	--	30	25109	бТел
13:30:50	8.37	-0.01	10	8370	бТел
13:30:40	8.38	--	20	16760	бРел
13:30:35	8.38	-0.01	45	37710	бТел
13:30:20	8.39	--	31	26009	бТел
13:30:15	8.39	--	30	25170	бТел
13:30:10	8.39	--	191	160249	бТел
13:30:05	8.39	--	30	25170	бТел
13:30:00	8.39	--	25	20975	бТел
13:29:50	8.39	--	64	53696	бРел
13:29:25	8.39	-0.01	15	12585	бТел
13:29:10	8.4	0.01	18	15120	бРел
13:29:10	8.39	--	70	58730	бТел
13:28:49	8.39	--	10	8390	бТел
13:28:39	8.39	0.01	91	76349	бРел
13:28:29	8.38	--	2	1676	бТел
13:28:19	8.38	--	86	72068	бРел
13:28:19	8.38	0.01	42	35196	бРел
13:28:09	8.37	-0.01	9	7532	бТел
13:27:59	8.38	0.01	278	232964	бРел
13:27:39	8.37	--	6	5021	бТел
