city,state,population,5_years_or_less,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,households,"$9,999_or_less","$10,000-$14,999","$15,000-$24,999","$25,000-$34,999","$35,000-$49,999","$50,000-$64,999","$65,000-$74,999","$75,000-$99,999","$100,000_or_more",median_household_income,mean_household_income
Ada,OK,17848,1293,878,1194,1386,2186,2754,1906,1941,919,807,1331,893,360,9285,4.3,8.3,22.0,18.7,21.1,10.4,5.0,6.5,3.6,21730,21730
Adams,NY,2300,118,173,164,114,106,321,291,400,158,133,176,95,51,1182,0.4,3.8,23.0,12.9,21.3,20.6,7.9,5.7,4.4,27000,27000
Adel,GA,7245,589,763,464,412,388,1092,744,875,510,378,573,343,114,2819,3.2,8.6,24.3,25.4,14.9,9.4,2.6,7.7,3.8,23076,23076
Adel,IA,3583,229,327,336,150,140,375,511,560,256,231,214,136,118,2055,1.6,3.0,10.1,20.3,26.5,16.4,7.1,6.4,8.7,34947,34947
Adrian,MI,44643,2651,2895,2568,3419,3792,5788,5474,5622,2810,2844,3676,2041,1063,22248,2.9,6.2,16.5,21.4,20.8,14.2,6.5,6.9,4.7,20655,20655
Ahoskie,NC,4835,406,384,295,271,326,657,439,530,337,194,447,337,212,1889,2.3,8.3,19.9,19.4,23.0,12.2,5.4,4.7,4.7,22083,22083
Air Force Academy,CO,2844,180,126,216,670,1096,279,221,56,0,0,0,0,0,2263,2.5,76.3,2.8,2.4,5.8,4.3,4.1,1.8,0.0,11001,11001
Ajo,AZ,3720,277,308,174,107,223,426,281,435,292,174,569,433,21,1385,0.0,8.3,29.8,14.0,16.3,7.7,9.9,9.7,4.2,17976,17976
Akron,NY,2992,189,87,194,233,163,225,415,472,236,242,240,213,83,1688,0.0,2.6,13.3,18.3,32.9,17.4,5.3,5.6,4.5,31384,31384
Akron,OH,565839,33027,33102,34609,39092,45379,73655,67098,76184,41393,35617,47135,25927,13621,299631,1.7,3.8,14.3,19.3,22.8,16.1,6.1,8.3,7.6,27631,27631
Alachua,FL,3871,259,265,118,201,301,615,595,546,191,147,341,223,69,2178,1.1,8.2,17.1,14.9,29.8,17.4,7.4,4.0,0.0,30030,30030
Alamogordo,NM,32619,2309,2514,1590,1729,2484,4577,3508,4233,1924,2122,3149,1708,772,14929,2.9,5.8,19.2,19.2,22.3,12.8,4.8,6.0,7.0,25089,25089
Alamosa,CO,10490,791,707,690,985,1591,1448,1127,1099,462,433,650,424,83,5336,2.4,4.7,20.2,18.6,21.4,15.7,4.8,3.2,9.0,14318,14318
Albany,GA,94815,7285,7031,6774,7346,8340,13370,11897,11404,4944,5416,6181,3246,1581,41521,3.2,6.9,22.6,19.3,21.3,10.3,4.7,6.5,5.2,23359,23359
Albany,MN,2670,179,178,186,156,60,383,333,284,119,149,117,201,325,1478,1.9,2.9,8.3,22.8,23.7,20.4,6.5,10.9,2.6,34868,34868
Albany,OR,58417,3674,4613,4012,3721,3901,8709,7617,7400,3427,3442,4509,2404,988,27999,1.1,2.6,17.2,19.6,22.6,14.2,6.2,10.7,5.8,25746,25746
Albany--Schenectady,NY,599501,32690,32700,34897,44666,52392,79729,71574,84288,41923,36162,46456,26695,15329,334060,1.6,2.8,10.3,14.7,21.9,16.8,7.8,12.3,11.9,34056,34056
Albemarle,NC,16926,1194,1020,1178,1100,1030,1906,2249,2103,981,1228,1520,964,453,7443,4.1,6.3,20.7,19.5,24.1,12.5,3.3,4.7,4.9,24316,24316
Albert Lea,MN,17546,935,1072,982,889,1033,2021,1827,2230,1223,1106,1871,1376,981,9188,1.3,4.5,17.6,25.3,24.4,13.8,3.3,5.8,3.9,25512,25512
Albertville,AL,37065,3014,3101,2976,2466,2213,5391,5025,3885,1974,1776,3113,1448,683,16727,2.7,5.7,30.5,17.0,19.2,10.0,4.4,4.9,5.7,21953,21953
Albia,IA,3425,168,426,174,266,254,333,399,308,194,144,352,228,179,1558,4.7,4.8,12.0,19.1,24.0,16.1,4.5,9.4,5.5,28594,28594
Albion,MI,8809,560,494,500,1154,1100,912,798,993,522,478,705,326,267,4189,5.7,2.9,18.5,22.6,26.7,14.7,5.5,2.6,0.7,13990,13990
Albion,NY,8435,495,240,366,461,860,1363,1177,1368,601,313,626,303,262,3170,2.0,6.1,19.7,24.2,15.2,22.3,1.6,3.7,5.2,19859,19859
Albion,PA,4431,134,101,109,176,300,891,842,933,322,159,247,164,53,1472,3.3,2.7,18.2,28.5,22.3,13.1,5.7,2.9,3.3,22462,22462
Albuquerque,NM,757221,48708,50404,50529,48640,53974,112102,95917,100233,49033,44497,58956,31320,12908,385147,2.3,4.6,15.4,17.6,20.8,14.4,6.2,8.7,10.0,30241,30241
Alderson,WV,2460,146,130,142,47,104,529,391,477,169,96,165,58,6,1131,22.1,13.8,16.9,26.2,9.1,2.5,3.5,2.0,3.9,13926,13926
Aledo,IL,3599,226,220,202,237,194,415,447,365,215,205,378,252,243,1869,2.0,2.8,16.0,22.4,20.4,16.1,6.8,9.7,3.8,26161,26161
Aledo,TX,5666,349,402,698,672,187,441,907,1121,295,184,248,153,9,2775,0.8,1.4,7.7,7.1,12.3,17.9,10.3,20.1,22.4,55669,55669
Alexander City,AL,9987,753,697,919,756,671,1309,1327,977,609,463,733,429,344,3637,1.5,17.9,30.8,19.2,12.2,10.4,4.2,3.1,0.7,21236,21236
Alexandria,LA,84679,5794,5926,5919,5755,6298,12262,10139,10966,5790,4142,6404,3741,1543,36918,3.3,9.2,21.7,18.5,19.8,12.2,4.1,6.2,5.1,23536,23536
Alexandria,MN,17280,1138,940,997,888,1200,2435,1755,1995,1266,1221,1643,1303,499,9987,2.4,5.8,15.3,15.9,22.0,16.8,5.9,7.7,8.2,26463,26463
Alfred,NY,4475,30,37,28,1957,1834,261,53,66,41,54,65,33,16,3619,12.9,8.8,21.5,8.8,21.2,9.7,6.8,2.9,7.4,3664,3664
Algoma,WI,2959,131,167,182,208,126,298,350,414,219,177,329,189,169,1462,1.7,1.7,15.4,24.4,34.9,17.6,0.8,1.4,2.0,26422,26422
Algona,IA,5296,309,316,389,247,219,577,544,680,363,298,483,569,302,2824,1.8,1.6,16.5,20.3,22.3,22.3,3.7,7.6,3.9,27319,27319
Alice,TX,21448,1844,1568,1767,1549,1545,2642,2757,2511,1322,1104,1625,868,346,9420,1.8,6.6,23.3,16.3,18.8,13.0,5.1,7.3,7.9,23746,23746
Allegan,MI,6217,338,417,519,398,525,561,795,909,242,400,609,316,188,2695,1.9,1.6,19.0,16.6,27.8,20.2,5.3,4.3,3.3,26938,26938
Allendale,SC,3197,207,270,171,224,208,502,216,392,309,259,321,101,17,1248,0.0,20.6,25.8,27.9,17.0,4.3,1.8,2.6,0.0,18951,18951
Allentown,PA,669320,37970,42307,42620,46613,44434,81820,83955,96883,45491,40580,54925,33195,18527,355074,1.6,3.2,11.4,17.2,22.6,15.9,6.7,10.4,10.9,31446,31446
Alliance,NE,8509,552,583,765,628,490,881,865,1157,655,616,633,425,259,4542,5.4,3.5,14.9,18.5,19.5,19.8,3.6,10.6,4.1,28325,28325
Alliance,OH,32356,1802,1666,2170,3214,2452,3451,3801,3985,2045,1704,2747,2062,1257,15299,2.9,5.4,20.2,27.7,23.1,12.3,3.3,3.3,1.9,21092,21092
Alma,GA,3552,265,238,165,230,423,481,460,331,287,224,218,173,57,1451,6.1,11.1,19.4,16.1,22.7,6.5,5.9,4.9,7.2,17202,17202
Alma--St. Louis,MI,16921,854,748,779,1430,2095,2844,2289,1974,916,767,1069,559,597,6478,2.7,7.9,20.8,23.9,18.3,11.0,6.4,4.6,4.3,18036,18036
Almont,MI,2731,199,131,154,153,265,282,384,416,171,246,241,61,28,1453,2.2,1.9,18.7,15.6,19.4,15.9,8.0,11.6,6.6,24916,24916
Alpena,MI,13785,813,644,755,758,989,1568,1348,2018,1186,674,1440,1009,583,6682,4.6,4.6,17.8,25.3,20.2,13.0,4.7,5.6,4.1,21876,21876
Alpine,TX,6055,420,348,397,216,544,792,798,726,534,328,606,220,126,3200,5.1,4.0,13.2,27.8,21.5,7.9,6.5,7.5,6.6,26368,26368
Altavista,VA,4496,195,202,232,184,322,560,498,601,383,347,492,267,213,2237,3.9,4.5,13.7,20.3,26.7,14.2,5.2,4.5,7.1,30010,30010
Alton,IL,83339,4983,5037,5254,4750,4670,12054,9987,11578,6132,5367,7024,4576,1927,40994,2.0,3.3,15.0,17.4,21.7,18.2,8.0,7.8,6.6,28940,28940
Altoona,PA,79343,4388,4514,4742,5378,5103,9259,9196,10388,5780,5686,7529,4585,2795,40479,2.3,4.3,19.5,20.4,22.1,15.0,5.9,5.7,5.0,24850,24850
Alturas,CA,2525,135,99,229,148,111,259,262,475,139,205,247,154,62,1155,7.6,6.9,11.2,11.4,38.6,8.7,0.0,15.6,0.0,22188,22188
Altus,OK,19593,1654,1496,1136,1109,1719,3244,2279,2209,1341,952,1294,841,319,10065,7.0,6.3,22.6,21.2,19.3,9.9,3.8,6.4,3.4,23852,23852
Alva,OK,5668,388,238,259,386,991,981,508,495,295,292,374,307,154,3345,2.2,9.4,24.7,15.8,18.9,13.1,7.3,4.7,3.9,21223,21223
Alvarado,TX,4179,201,315,230,364,201,710,623,494,235,257,296,150,103,1710,0.0,4.5,12.6,22.4,27.4,12.7,9.3,6.5,4.8,29773,29773
Amarillo,TX,202075,15637,16010,13253,13089,14178,31235,25641,25027,12507,10427,13700,8049,3322,103837,2.1,5.8,18.6,19.9,20.1,13.1,5.8,7.4,7.1,27498,27498
American Falls,ID,4380,428,288,466,261,222,622,518,522,223,212,381,143,94,2076,1.2,2.5,17.0,33.8,30.2,8.8,2.5,1.7,2.3,26131,26131
Americus,GA,18292,1240,1661,1074,1800,2085,2540,1982,1899,788,810,1348,688,377,7908,4.8,5.6,21.9,17.7,25.2,15.1,3.3,3.8,2.6,20696,20696
Amery,WI,2839,139,210,153,51,101,361,298,323,191,114,259,320,319,1395,2.0,1.3,10.2,28.6,25.8,12.2,5.5,5.1,9.3,27901,27901
Ames,IA,64594,2676,2466,2056,9325,19452,8843,4978,4842,2135,2321,2842,1935,723,45013,2.1,3.1,15.3,15.0,23.4,15.5,6.4,9.0,10.1,12515,12515
Amite City,LA,6505,344,452,554,453,405,1194,745,711,395,510,406,249,87,2612,1.0,6.3,37.9,18.6,19.1,10.4,1.6,1.0,4.2,21732,21732
Amory,MS,6597,336,563,553,376,366,757,796,842,370,393,545,416,284,2737,2.5,4.1,21.0,25.5,23.8,10.0,4.2,6.2,2.6,24732,24732
Amsterdam,NY,21583,1287,1305,1459,1341,1480,2648,2888,2563,1555,1110,1715,1318,914,10639,1.6,5.0,12.5,23.2,22.0,14.5,6.8,8.1,6.3,28840,28840
Anaconda-Deer Lodge County,MT,6191,294,301,283,412,296,586,710,951,439,568,733,422,196,3014,1.4,5.8,18.0,25.4,26.1,10.2,4.9,2.4,5.8,27332,27332
Anacortes,WA,17010,888,791,812,775,843,1993,1639,2174,1354,1527,2287,1314,613,8196,1.8,3.0,10.4,13.6,20.8,16.9,7.8,11.9,13.9,33026,33026
Anadarko,OK,5849,473,509,409,392,387,879,653,771,381,310,400,198,87,2341,1.1,12.9,27.9,15.8,24.0,13.6,1.2,0.0,3.5,20841,20841
Anamosa,IA,5487,301,323,317,330,334,809,802,778,317,264,371,325,216,2262,1.3,5.8,6.9,19.0,32.2,22.5,4.4,3.3,4.7,25719,25719
Anchorage,AK,254986,19107,16878,16969,16746,23728,43242,31708,34543,17338,12282,14227,6037,2181,151491,1.2,2.3,10.5,14.8,20.6,16.4,7.7,12.5,13.9,38555,38555
Anchorage Northeast,AK,31169,2350,2563,2438,2461,2438,5038,4577,3869,1954,1557,1552,325,47,18040,1.2,1.7,7.3,11.0,16.8,16.1,11.4,19.1,15.4,47355,47355
Andalusia,AL,6909,527,465,486,413,717,846,766,805,440,345,481,414,204,2831,4.8,12.5,29.9,17.9,17.9,8.7,3.3,3.2,1.9,17140,17140
Anderson,IN,86990,4975,5185,5481,5283,6261,11323,10707,11510,5932,5714,7951,4555,2113,39838,1.6,5.0,17.6,21.0,24.3,14.8,4.7,6.1,4.9,24074,24074
Anderson,SC,77276,4645,4937,4839,5284,5404,9365,9195,10845,4969,4238,7302,4217,2036,35194,2.6,3.9,18.7,22.0,21.7,13.1,4.7,7.2,6.1,25974,25974
Andrews,SC,3982,381,353,183,275,345,600,252,526,378,169,337,98,85,1570,8.6,4.3,28.4,36.2,9.4,4.2,3.1,2.5,3.4,18409,18409
Andrews,TX,14137,1168,1348,1148,1224,894,1758,1994,1768,689,709,702,595,140,7036,3.0,5.7,9.1,15.5,15.0,19.5,9.5,11.7,11.0,36044,36044
Angels,CA,3725,220,104,137,194,403,324,313,418,258,319,704,255,76,1551,1.6,7.6,13.3,16.5,23.5,12.2,9.3,4.4,11.6,31942,31942
Angola,IN,11310,643,826,659,960,1270,1265,1265,1193,644,714,1159,445,267,5993,2.3,6.8,13.8,20.4,23.2,12.9,7.4,6.9,6.3,19593,19593
Anna,IL,5899,326,416,379,262,307,813,601,864,391,290,588,424,238,2428,2.1,4.7,19.0,16.1,23.7,17.0,3.5,11.0,2.9,26667,26667
Anna,TX,12209,1562,1215,731,557,578,1971,2271,1159,675,483,673,175,159,6022,3.1,1.0,13.0,12.2,29.4,17.5,12.6,5.6,5.6,37470,37470
Annandale,MN,3334,362,233,216,72,198,680,350,324,205,162,146,260,126,1708,0.9,8.7,10.8,19.2,29.4,12.7,4.5,6.5,7.2,30093,30093
Ann Arbor,MI,312498,18177,16859,17141,28223,43599,47356,37676,37339,17749,15790,18967,9117,4505,184158,1.6,3.1,10.9,14.6,17.6,14.7,7.0,13.1,17.4,27527,27527
Anniston--Oxford,AL,79482,4738,4916,4770,5772,6851,9834,9762,10264,5448,4692,6924,4059,1452,37270,2.5,6.3,22.0,18.2,19.0,14.5,4.7,8.1,4.7,22477,22477
Antigo,WI,7900,513,383,548,428,562,860,1030,1022,643,414,681,474,342,3956,1.2,5.9,18.0,25.4,29.2,12.0,4.0,3.4,1.0,23384,23384
Antioch,CA,293594,18786,22396,22474,23867,21422,37470,40588,42283,18292,14882,18758,8947,3429,140871,2.3,2.9,10.9,13.6,18.0,17.0,8.0,13.5,13.9,32660,32660
Apalachicola,FL,3848,241,271,265,190,244,448,467,468,294,216,438,182,124,1732,7.4,5.3,17.9,28.2,27.1,6.0,1.9,1.1,5.0,23269,23269
Appleton,WI,219579,14756,15004,15009,14101,13718,31352,27970,32986,14750,12256,14565,9112,4000,126075,1.6,2.5,12.0,17.0,24.3,18.8,8.0,8.4,7.6,32494,32494
Apple Valley,OH,5106,385,186,353,208,134,751,454,682,368,321,806,372,86,2428,2.6,0.0,3.6,18.9,31.6,12.9,7.4,11.8,11.2,38068,38068
Arab,AL,7752,427,394,502,527,525,818,874,1269,536,534,768,422,156,3599,0.3,5.4,20.4,14.7,24.7,14.3,5.8,6.5,7.9,27510,27510
Arbuckle,CA,2739,345,220,197,305,173,426,324,350,107,120,95,77,0,1130,0.8,17.7,19.3,20.3,17.6,10.4,10.5,0.0,3.4,22566,22566
Arcade,NY,3498,176,231,241,339,218,416,363,410,369,211,284,162,78,1837,0.0,3.8,28.0,17.3,19.9,11.7,8.9,7.6,2.9,24048,24048
Arcadia,LA,2879,146,134,206,168,210,420,303,358,110,210,223,246,145,1196,3.7,12.5,17.4,20.9,15.5,15.5,2.5,0.0,11.9,17209,17209
Arcadia,WI,2825,287,231,248,141,169,462,331,331,155,110,167,128,65,1566,0.0,2.1,28.5,25.9,26.6,11.0,2.8,2.1,0.9,25046,25046
Arcadia--Southeast Arcadia,FL,18376,1353,1573,1229,1373,1430,2692,2102,2105,844,910,1547,944,274,7531,3.8,9.7,30.3,32.4,14.8,6.5,0.7,0.9,0.9,20863,20863
Arcata--McKinleyville,CA,34332,1898,1720,1655,3395,5777,5229,3789,3210,2081,1834,2265,993,486,19679,3.7,8.2,13.5,14.6,23.6,15.8,7.8,7.0,5.8,16313,16313
Archbold,OH,4697,314,391,399,369,196,497,604,473,407,223,436,232,156,2362,1.7,5.3,8.1,29.8,22.4,18.0,3.1,3.8,7.7,28707,28707
Archer Lodge--Clayton,NC,14609,724,1136,2031,1277,537,938,3140,2354,683,588,1022,135,44,7307,1.0,2.3,12.4,9.9,24.5,14.8,6.0,16.9,12.2,40340,40340
Arcola,IL,2909,228,236,184,99,231,344,342,401,236,178,268,87,75,1562,1.2,1.2,16.6,24.4,26.3,18.0,3.1,3.5,5.4,31184,31184
Ardmore,OK,21182,1633,1574,1367,1511,1395,2725,2979,2464,1392,935,1576,1098,533,10211,1.1,7.5,29.2,19.3,19.1,12.2,3.9,3.8,4.0,23188,23188
Arizona City,AZ,8997,720,783,516,714,883,1180,848,1343,434,430,863,283,0,4474,0.9,5.3,18.2,21.3,29.1,9.8,4.7,4.8,5.8,31551,31551
Arkadelphia,AR,10557,515,482,488,1700,2590,812,1016,758,427,445,561,566,197,6154,4.4,4.3,21.5,12.9,30.4,12.0,4.2,6.2,4.2,8906,8906
Arkansas City,KS,12999,1117,967,868,1040,1099,1689,1352,1314,719,741,1080,712,301,6579,5.8,5.6,23.1,22.1,17.8,13.0,4.6,5.5,2.5,20622,20622
Arlington,TN,11361,1055,1178,1277,884,689,1196,2122,1581,348,353,528,105,45,6213,1.1,1.6,3.1,15.8,19.5,19.6,11.6,14.8,13.0,45461,45461
Arroyo Grande--Grover Beach,CA,54369,2780,2818,3304,3086,3282,5750,6658,7468,4547,3870,6113,3259,1434,26946,1.9,5.0,11.4,16.7,21.5,13.9,6.3,10.2,13.3,30815,30815
Artesia,NM,13641,1394,1280,790,899,882,2389,1347,1499,703,770,845,594,249,5971,2.1,4.8,13.7,12.2,22.9,14.8,8.4,11.8,9.4,32216,32216
Arvin,CA,20642,2365,2145,1976,2080,2193,3072,2644,2055,600,603,580,289,40,9376,7.5,14.1,36.3,19.8,12.2,6.3,1.5,1.3,1.0,15533,15533
Ashburn,GA,4375,215,331,374,249,401,551,387,656,176,299,420,176,140,1432,10.4,5.4,30.9,19.9,19.5,5.0,3.7,5.0,0.0,17390,17390
Ashdown,AR,4075,206,252,448,194,151,423,732,466,261,386,170,246,140,1689,2.4,5.7,24.3,23.7,23.7,6.9,3.3,5.0,5.1,26274,26274
Asheboro,NC,38649,2854,3222,2676,2175,2716,4492,5328,5001,2152,2137,3062,2074,760,17430,1.4,6.0,22.8,23.5,21.9,15.6,3.3,3.0,2.5,23644,23644
Asheville,NC,287595,15430,16053,15700,15224,18176,37773,36646,37148,20105,18786,29864,18112,8578,145566,2.1,4.1,18.5,21.2,21.4,13.1,4.6,7.2,7.7,25712,25712
Ashland,MO,3338,282,342,142,164,71,671,354,402,215,232,182,145,136,2068,3.6,1.2,7.4,19.5,30.5,18.3,5.0,4.3,10.3,34150,34150
Ashland,NE,2643,159,190,160,105,141,353,319,364,180,167,292,122,91,1543,2.1,2.8,15.0,25.7,28.9,9.5,6.3,5.6,4.1,31799,31799
Ashland,OH,20330,1332,1078,1043,1721,2075,2352,2217,2590,1207,1138,1536,1305,736,10555,0.6,3.3,18.6,24.6,23.9,11.9,4.8,6.6,5.6,22769,22769
Ashland,PA,7229,274,305,250,219,415,1092,1203,1165,595,518,597,406,190,3454,6.0,4.0,12.6,22.4,32.3,12.0,2.5,8.0,0.4,26130,26130
Ashland,WI,7183,404,237,473,499,665,830,863,953,514,495,595,443,212,3894,2.1,2.8,24.5,17.6,24.7,15.0,8.6,2.1,2.5,23045,23045
Ashland City,TN,3198,272,175,109,267,223,398,439,426,230,232,251,140,36,1589,0.0,0.0,16.0,21.5,38.4,16.7,3.0,0.8,3.6,31348,31348
Ashtabula,OH,29070,1871,1839,1976,1755,1909,3180,3450,4035,1933,2309,2702,1409,702,12920,1.6,5.5,21.2,23.7,16.9,14.0,6.2,7.2,3.8,22481,22481
Ashville,OH,6743,485,524,685,511,434,899,1063,905,315,291,414,121,96,3434,2.0,2.4,13.2,20.9,25.5,22.1,3.9,5.8,4.0,30313,30313
Aspen,CO,7951,170,256,464,347,408,1564,993,1234,538,512,967,402,96,5208,3.3,1.5,8.9,12.9,21.5,15.8,7.9,8.2,19.9,36546,36546
Astoria,OR,14375,821,938,793,835,907,2130,1767,1697,1106,991,1283,639,468,7686,3.1,4.3,15.2,21.3,21.7,16.6,4.6,8.4,4.8,25608,25608
Atchison,KS,10986,687,801,756,1307,1406,1186,1056,1304,586,474,609,617,197,5937,3.2,7.3,14.9,20.4,26.4,11.5,3.2,10.7,2.5,17979,17979
Athens,AL,26556,1571,1825,1753,1943,1450,3736,3103,3793,1716,1392,2217,1451,606,12697,2.2,5.8,16.2,21.7,17.5,12.5,4.4,8.1,11.7,27078,27078
Athens,OH,28311,952,725,585,6179,10111,3257,1635,1506,884,418,955,704,400,18653,8.6,6.8,15.5,14.0,20.9,15.6,4.3,7.9,6.3,4960,4960
Athens,TN,15589,1237,741,1052,910,1308,2019,1687,1900,901,945,1531,1023,335,7150,2.0,6.2,24.3,21.4,19.8,12.6,5.4,3.3,5.0,22468,22468
Athens,TX,12210,1026,1118,961,742,871,1850,1425,1257,770,387,883,612,308,5855,4.1,10.2,19.7,23.1,11.0,11.4,6.8,6.9,6.6,20611,20611
Athens-Clarke County,GA,132368,7403,6987,6527,15085,24309,20334,15218,12391,5935,5464,7254,3634,1827,68806,2.0,5.5,18.6,21.2,19.0,14.1,3.9,5.3,10.2,18795,18795
Athol,MA,12644,659,532,971,816,815,1453,1289,1879,958,1001,1237,705,329,5645,1.5,2.9,9.9,14.3,34.0,12.4,9.8,11.8,3.5,30319,30319
Atlanta,GA,4746832,325769,347519,349706,332737,319800,684937,719811,691037,280303,235812,286859,125667,46875,2441327,1.7,3.6,13.5,15.6,19.0,14.8,6.4,10.0,15.2,32645,32645
Atlanta,TX,5956,425,541,379,424,438,735,708,713,395,169,481,252,296,2606,8.7,4.2,32.8,16.1,19.2,10.9,0.3,3.9,3.9,20156,20156
Atlantic,IA,6196,392,417,319,347,393,815,583,725,384,472,537,489,323,3387,2.6,4.9,21.0,29.1,20.7,11.5,4.2,2.5,3.5,24411,24411
Atlantic City,NJ,249294,15331,14786,15023,15813,16906,29469,28944,36743,17292,17569,23150,12537,5731,130320,2.2,3.5,14.0,17.7,19.1,15.5,6.1,9.8,12.1,29154,29154
Atmore,AL,7240,396,223,621,769,594,488,1116,1001,448,578,434,407,165,2517,0.0,13.9,24.0,25.3,16.6,11.2,2.5,4.9,1.5,21225,21225
Atoka,TN,19656,1274,1417,1783,1661,1070,2483,2955,2678,1358,1023,1146,545,263,10478,1.8,3.2,14.3,13.2,25.5,15.0,10.0,11.3,5.6,35793,35793
Attica,IN,5244,400,204,256,321,398,670,683,560,341,322,528,390,171,2619,1.2,6.0,13.5,21.7,26.6,18.2,4.7,5.4,2.7,25635,25635
Attica,NY,6754,255,264,216,348,647,1743,1054,1246,284,242,238,187,30,1784,3.9,2.9,17.6,18.0,21.5,22.0,7.6,2.5,4.1,25904,25904
Aubrey,TX,4290,277,318,340,372,125,496,782,596,261,213,327,138,45,2496,0.7,1.8,12.6,10.6,18.5,24.6,9.5,8.7,13.0,37241,37241
Auburn,AL,80271,4157,4107,4226,9212,17677,11960,8072,7304,3166,3274,3889,2298,929,45161,2.8,6.9,15.9,16.5,20.0,14.5,5.7,7.7,10.1,17124,17124
Auburn,IL,4560,289,439,386,306,237,697,687,611,177,218,224,152,137,2601,1.4,2.6,13.0,21.5,24.7,12.6,2.6,12.9,8.7,33730,33730
Auburn,IN,22117,1410,1489,1824,1656,1215,2840,3129,2758,1376,1370,1718,856,476,10803,1.6,4.4,11.8,24.4,23.1,18.8,6.0,6.3,3.7,28566,28566
Auburn,NE,3431,237,179,264,211,227,459,323,462,187,210,334,176,162,1900,0.0,4.7,13.5,28.4,23.2,8.6,1.4,9.2,11.0,25848,25848
Auburn,NY,32226,1810,1729,1661,1829,2500,4529,3816,4546,2232,2149,2656,1688,1081,15446,3.0,3.7,14.1,17.9,21.9,17.3,7.2,7.3,7.6,27595,27595
Auburn--North Auburn,CA,35429,1637,1954,2296,2067,2242,3890,3920,4598,2858,2444,3851,2286,1386,16139,1.7,3.2,12.8,15.7,18.0,14.7,8.6,8.9,16.4,31309,31309
Augusta,KS,9273,660,766,791,552,653,1097,1213,934,677,465,579,532,354,4485,1.6,3.1,15.0,18.2,21.7,17.2,4.9,11.6,6.6,31824,31824
Augusta,ME,22492,1080,1245,1106,1311,1605,2916,2725,2963,1546,1729,2098,1500,668,11268,2.5,3.3,15.4,24.1,24.1,15.6,4.7,5.9,4.3,26449,26449
Augusta-Richmond County,GA,400618,26494,26845,27278,27061,30488,57436,50079,51815,26226,23788,30971,16575,5562,188633,2.2,4.3,15.9,17.7,20.0,14.6,6.5,9.7,9.1,27990,27990
Aumsville,OR,3874,212,445,371,205,314,413,645,438,116,223,260,194,38,1896,0.7,1.1,22.2,14.3,37.8,10.5,6.6,5.9,1.0,26653,26653
Aurora,MO,8256,557,751,571,586,525,1066,998,1086,555,294,621,463,183,3981,0.8,6.5,25.4,26.8,16.9,15.4,5.0,1.3,2.0,22547,22547
